,EXEC,INST,IPC,L2MISS,FREQ,L2MPI,PhysIPC%,INSTnom%,L3MISS,MEM,L3HIT,L3MPI,GT,Pred
484,0.30741666666666667,0.7439956641681476,0.423233695652174,0.04717433628316913,0.562946170171498,0.06594827586209541,0.42355072463768123,0.30766666666666664,0.5410767910767912,0.7147401908801696,0.81125,0.5504136690647482,1.20506592959,1.1708082514127096
26,0.36166666666666664,0.4702143861732046,0.4972826086956522,0.4850442477874389,0.41942407871872683,0.5954290296714496,0.4972826086956522,0.36199999999999993,0.011252681252681253,0.05610816542948039,0.9995,0.010241007194244605,1.0038025287999999,1.053601881642541
15,0.274277777778,0.42660699549261466,0.5477053140108696,0.2794513274336356,0.28872435526353896,0.4522854851633729,0.54806763285,0.274444444444,0.006533676533676534,0.04820195593259809,0.99975,0.007827338129496403,1.0382519501799998,1.0330585211033383
312,0.357212121212,0.5036816597791298,0.4640974967065218,0.5175543041042414,0.4438549102837377,0.6479186411009014,0.46422924901159424,0.357212121212,0.006123006123003004,0.00897586683377872,1.0,0.005674296926100719,1.03346939302,1.088209867043602
142,0.41250000000000003,0.28116613242135546,0.8310688405797103,0.022858407079637922,0.2863809569746145,0.02486367281476538,0.8306159420289856,0.41250000000000003,0.006677391677391678,0.009406150583244963,0.9945,0.005368705035971223,1.0284147453799999,1.015183983090885
573,0.4371666666666667,0.6437766351382805,0.36313405797101456,0.8378761061943936,0.6938669689366413,0.8426222935047484,0.36340579710144927,0.4371666666666667,0.008335478335478336,0.00887221633085896,1.0,0.006201438848920864,1.25181240615,1.3139617298838087
128,0.3155,0.3613864299785592,0.6467391304347826,0.023861946902646418,0.2813404398995634,0.033768043303942966,0.6469202898550726,0.3153333333333333,0.008985413985413986,0.016859314245316365,0.993,0.00941546762589928,1.02926613733,1.0240120910805803
76,0.4291428571426667,0.26355205949549937,0.8856107660471016,0.02456738305941431,0.27954025523035714,0.025441058540507395,0.8840579710144928,0.4291428571426667,0.007435190292338053,0.010860980659498054,0.9944285714290001,0.0056916752312374105,1.0075007886,1.0194511137406943
70,0.332285714286,0.3439465446539256,0.6796066252572464,0.027530214917820338,0.28181417270691417,0.03656604422058403,0.6800207039340581,0.33238095238133336,0.007501378929952811,0.011414432156747967,0.994571428571,0.007379239465568344,1.00595080023,1.0192515898077772
244,0.9581818181799999,0.41381800291874277,0.5648880105398552,0.2592695092516604,0.9785838317574846,0.12003718014134726,0.5646245059289855,0.9583030303026666,0.0058094458094380096,0.008056814164977024,0.999818181818,0.00199738391105036,1.30505738057,1.3051877689478184
71,0.6223809523806666,0.3646917208940174,0.6418219461702899,0.02647888748419239,0.5593836994569519,0.018852674991430972,0.6414078674949276,0.6222857142853333,0.006991481277202917,0.011735595616825734,0.995,0.003679342240489209,1.01457301696,1.0440905824683528
166,0.35952380952400004,0.4762002764377997,0.49068322981521745,0.44237673830533014,0.422342272814809,0.5495474853947673,0.4907867494826087,0.3592380952386667,0.006964515535941655,0.010137857900318134,1.0,0.006398766700920864,1.0332582807100001,1.0356462692522705
509,0.27628571428599996,0.41083912384617005,0.5698757763985508,0.27675853350170726,0.27938866073170776,0.44592736854027504,0.5692546583847827,0.27580952380933327,0.008560397131823251,0.013066707064588193,0.9994285714290001,0.010234326824258995,1.01377529081,1.039541365461479
487,0.3393333333333333,0.3336477869180366,0.7010869565217392,0.026341592920334035,0.27943919223055,0.03462510024059127,0.7007246376811596,0.33911111111066666,0.00680966680966109,0.009671261930010604,0.9953333333329999,0.006621103117510792,1.01905120434,1.0195039246075581
512,0.3626666666666667,0.4698758468177838,0.4972826086956522,0.502566371681238,0.4207505305805824,0.6134723336008876,0.4974637681159422,0.36333333333333334,0.011763191763191764,0.017765995051254858,1.0,0.010633093525179858,1.0231917607799998,1.0744189962328237
20,0.44826666666666665,0.6281413769511274,0.3707971014492754,0.6244247787608408,0.695697472506002,0.6250200481157276,0.3715942028985508,0.448,0.0090982410982411,0.05226723223753977,1.0,0.0067395683453237406,1.08834119909,1.073520806183614
618,0.43,0.2636187109152164,0.8872282608695653,0.028254424778751057,0.2796160524791512,0.028896351242994747,0.8867753623188406,0.4298333333333333,0.007267267267267267,0.010627430187345351,0.994875,0.005503597122302158,1.0306574032200002,1.0182232668136584
153,0.3188888888886667,0.35637079462849264,0.6557971014492754,0.025258407079626455,0.2805003537200345,0.03485364875701879,0.6559178743963769,0.3193333333333333,0.013253253253247537,0.02563214327790739,0.990166666667,0.013525179856115108,1.0339463954700001,1.021549334192828
599,0.42505882352933333,0.265276684221291,0.8800085251485508,0.022778761061938838,0.2785861016220225,0.024008207934344026,0.8802216538768116,0.42517647058799996,0.0045645645645645645,0.006572349406362672,0.996176470588,0.0035556495979712235,1.0177908772600002,1.021849585917938
513,0.3476666666666666,0.32607212933369295,0.7164855072463768,0.032734513274324695,0.2796160524791512,0.04195068163594304,0.7170289855072465,0.3476666666666666,0.010647790647790648,0.017161541180629195,0.99375,0.010093525179856115,1.02241723694,1.0140383679477467
242,0.2794166666666667,0.41373379807129596,0.5647644927536233,0.20696017699107716,0.2853197954851301,0.32450882117094004,0.5648550724637682,0.27949999999999997,0.00773916773916774,0.01048073524213503,0.999125,0.00895863309352518,1.00698711755,1.0128380079194828
250,0.3146666666666667,0.8494019214785016,0.37038866930072467,0.0597634754625983,0.6587883465170138,0.0815983815702813,0.37048748353115946,0.31478787878799996,0.7308139308142428,0.8276615572484977,0.7909999999999999,0.7490516677568345,1.1532962426200002,1.259264000915355
167,0.31033333333333335,0.712938004982015,0.43908514492753625,0.048201769911487356,0.5458349411535613,0.06629560946273709,0.4391304347826087,0.3103333333333333,0.5512012012012012,0.7186284906327324,0.820125,0.5481115107913669,1.22377585425,1.1704978332803453
611,0.9709090909066668,0.41110753451191073,0.5694993412391305,0.3057248592113608,0.9825390700361828,0.14047532259255832,0.5694993412384058,0.9700606060600001,0.006520806520806521,0.009008001542453164,0.999818181818,0.00222550686723741,1.32761962142,1.2974327786599535
494,0.3206666666666667,0.35399990737437986,0.6606280193224638,0.024122123893807385,0.2799697729752923,0.03358460304733905,0.660628019323913,0.3206666666666667,0.01035035035035607,0.018161894662424887,0.992166666667,0.010673860911266188,1.0148629068000001,1.0227478322985997
714,0.4457333333333333,0.629251167369769,0.36884057971014494,0.6709380530971075,0.6950607756123114,0.6726543704894438,0.36985507246376814,0.44586666666666663,0.007893607893607895,0.012292682926829269,1.0,0.005858992805755396,1.06386055602,1.1260044895954002
518,0.3416666666666666,0.33395682050508296,0.7010869565217392,0.03214513274335145,0.2812077947133779,0.04122894947876553,0.7000000000000001,0.3416666666666666,0.012621192621192623,0.019293036408624956,0.99275,0.012014388489208633,1.01359370635,1.0147486521380904
399,0.3244666666666667,0.3564261129652193,0.655072463768116,0.02603787610618547,0.2855585568202641,0.0351952686447615,0.6552173913043479,0.3246666666666667,0.009070785070785072,0.01819017320607989,0.9937,0.008771223021582735,1.0214104614,1.0201045432668152
646,0.30388888888866666,0.631226681531762,0.4708333333333334,0.04145840707952514,0.4718631423244369,0.060721732157321864,0.4706521739130436,0.30377777777733334,0.45170885170827973,0.6466360315772358,0.828166666667,0.49076738609064746,1.20212279474,1.134453539921848
7,0.9408888888866667,0.42641873086894677,0.5480676328514493,0.2644247787609683,0.9908418547809218,0.12524458700899166,0.5482608695652174,0.9418666666666667,0.007207207207207208,0.04754320725821138,0.999733333333,0.002530839328532374,1.2958668957600001,1.2882192039010103
129,0.3175,0.3587523070928051,0.651268115942029,0.02342389380530144,0.28107514952719237,0.033136527666412646,0.651358695652174,0.31766666666666665,0.010407550407550408,0.019153411099328384,0.99175,0.010890287769784172,1.01738193509,1.0233906179873096
567,0.3403333333333333,0.33401769725375613,0.6992753623188406,0.020251327433631765,0.2805003537200345,0.026589815557336246,0.7000000000000001,0.34,0.00849992849992278,0.012305879580530225,0.992166666667,0.008263788968820145,0.994982848907,1.0213139929986104
565,0.28155555555533335,0.4048646297410336,0.5772946859891305,0.2293805309733701,0.2812077947133779,0.36561748195804555,0.577536231884058,0.2813333333333334,0.008545688545688546,0.012482620478373984,0.9990000000000001,0.010074340527582734,0.9947596015569999,1.0195677682730242
596,0.309450980392,0.3637372620939112,0.6425831202028986,0.028813118167614577,0.27758736139618845,0.041711873201540385,0.6426683716963768,0.3093333333333333,0.009051404345516946,0.01635414717319194,0.994117647059,0.009696995344906475,1.0226113605399998,1.0238380065420902
140,0.31266666666666665,0.8534661866263437,0.3694334650869565,0.05903073209976671,0.6574377773482896,0.08208062987553412,0.3694993412384059,0.312363636364,0.6848406848408408,0.7894855233142454,0.7959999999999999,0.70531066056259,1.17765186124,1.2357131232762182
75,0.31904761904733336,0.35501740868888737,0.6583850931666667,0.024644753476589506,0.27938866073170776,0.034024515981220534,0.6584886128362318,0.319047619048,0.009724826867679108,0.01941524011513609,0.992714285714,0.009938335046244603,1.0104134231100002,1.0225875889933622
164,0.443523809524,0.6354591448775773,0.36801242235869575,0.6685714285707367,0.6941512086214763,0.668633291329057,0.3684265010355073,0.4436190476186667,0.006295274866700986,0.008123819623287381,1.0,0.004647482014388489,1.13619948138,1.1209079321757929
308,0.426787878788,0.26547664447777897,0.8810935441376813,0.024394851166515255,0.27947134864006196,0.02558212437122517,0.8820816864275364,0.4269090909093333,0.005796965796962677,0.008585108775991517,0.995454545455,0.0044983649444028774,1.01790333096,1.0207188579115105
72,0.31704761904733336,0.35742119852373994,0.6532091097318841,0.027443742098613284,0.2792370662330584,0.03850956581501143,0.6542443064181159,0.31695238095199996,0.009335049335049335,0.019736403575227997,0.993714285714,0.009706063720446042,1.01313382302,1.0216810889416152
241,0.4303333333333333,0.2628088275220106,0.8894927536231885,0.025546460176982106,0.279085471734409,0.026460505212520632,0.8885869565217392,0.43050000000000005,0.00608966108966109,0.00937256981265465,0.995625,0.00466726618705036,1.00287294686,1.020173412387015
322,0.31357142857133335,0.36221236520392486,0.6451863354021738,0.028140075853349326,0.28037402497133695,0.03957154313205275,0.6453933747413043,0.3136190476186666,0.011256971256971258,0.019036509619752562,0.992571428571,0.011705035971223021,1.02450192376,1.0225796954008606
488,0.1413588571426667,0.46178552640006015,0.5067805383007247,0.01729037673830892,0.16097971389932048,0.08067934471290324,0.5067287784681159,0.14173980952399998,0.057047251332990136,0.5974852295114883,0.8851428571430001,0.5500102774920863,1.0883500389899998,1.1492391857553685
419,0.42684848484866666,0.2657768597426508,0.8797760210797101,0.028956395816559653,0.2797607563182405,0.030286505795749916,0.8794466403188407,0.42678787878799995,0.006901446901450021,0.00992062726950866,0.995636363636,0.005336821451928058,1.02002244295,1.0172863601521638
170,0.32,0.3545995919701492,0.6589026915108696,0.024166877370394985,0.27999503872524406,0.03363271852447219,0.6591097308485507,0.32,0.00893791750934363,0.018572943493404027,0.993285714286,0.009200411099697842,1.03110120061,1.0226085638513926
