,EXEC,L3MISS,L2MISS,MEM,IPC,INST,L3MPI,INSTnom%,PhysIPC%,FREQ,L2MPI,L3HIT,GT,Pred
249,0.41041666666666665,0.006241956241956242,0.030695575221228066,0.010330505478967834,0.8328804347826088,0.28093696438773563,0.00493884892086331,0.41033333333333327,0.832427536231884,0.2843912791818312,0.03282528067362984,0.996125,1.0107930756799999,1.0142236385792684
606,0.436,0.006355262825842986,0.6615304528903853,0.006596386168455284,0.36121057118514494,0.645210436107408,0.0048209902666043174,0.436,0.36197783461231886,0.6944989842352134,0.6786405019092537,0.999941176471,1.0301217111399998,1.108354621257059
511,0.318761904762,0.012504749647601886,0.021367888748403053,0.024028682522813715,0.6557971014492754,0.35633545467669225,0.012830421377179857,0.319047619048,0.655900621118116,0.2802982277225428,0.029580707984879544,0.9890000000000001,1.01969457789,1.0190720249884029
321,0.426523809524,0.005345345345345346,0.028121871049285617,0.00778063929708024,0.8817287784673914,0.26507324389599457,0.004145940390546763,0.4262857142853333,0.8825051759855074,0.27893387723575963,0.02945182724254188,0.9963571428569999,1.0261657693000001,1.0205265375026424
164,0.443523809524,0.006295274866700986,0.6685714285707367,0.008123819623287381,0.36801242235869575,0.6354591448775773,0.004647482014388489,0.4436190476186667,0.3684265010355073,0.6941512086214763,0.668633291329057,1.0,1.13619948138,1.1163806248714725
689,0.2956666666666667,0.3736879736885457,0.03326017699113866,0.6164722516790385,0.48146135265579715,0.5603482769923878,0.41822541966474824,0.29577777777733333,0.4815217391304348,0.4094314746923946,0.050286688051343335,0.828,1.11044636911,1.074087500799015
617,0.27940740740733333,0.007018447018447019,0.21713274336289656,0.010794548525203253,0.5720611916268116,0.40917518522839597,0.00833573141486331,0.279407407408,0.5714975845413044,0.28203314253876827,0.34855653568582534,0.999111111111,1.0284490895899998,1.0125786770829326
687,0.4289629629626666,0.005824872491531532,0.029100884955727747,0.008939161855383529,0.8852657004818841,0.26398509400811687,0.004414068745007194,0.4287407407413333,0.8848631239927537,0.27979291272775236,0.02983961507619881,0.9962222222220001,1.0251285989299999,1.019531265553687
619,0.33629629629599994,0.007495114161784642,0.024254867256617962,0.010621735202856135,0.6892109500797102,0.33945144353974993,0.007384492406071943,0.336444444444,0.6887278582927536,0.28156151520951894,0.032285485164419515,0.9944444444439999,1.02613523293,1.0215285579612756
171,0.414761904762,0.007974505117357358,0.02881820480402166,0.01097611473009544,0.8416149068333333,0.2777745201776734,0.00636176772867626,0.4146666666666667,0.8416149068333333,0.2842396846831819,0.031137587352510477,0.9948571428569999,1.02972695784,1.0150463725301226
495,0.614,0.0061408347122608314,0.030420227560035245,0.009956067262537999,0.6350931677028986,0.3683790840069737,0.003301130524158274,0.6139047619053333,0.6348861283644929,0.5574129709766323,0.02209015923933123,0.996285714286,1.02656450919,1.0419007670728182
167,0.31033333333333335,0.5512012012012012,0.048201769911487356,0.7186284906327324,0.43908514492753625,0.712938004982015,0.5481115107913669,0.3103333333333333,0.4391304347826087,0.5458349411535613,0.06629560946273709,0.820125,1.22377585425,1.193499694734833
