,AFREQ,EXEC,FREQ,INST,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC%,MEM,GT,Pred
279,1.05,0.4844,0.2642,0.5456956836267182,0.2422,1.8319999999999999,6.688,0.0008064,0.9908,0.06027999999999999,7.27e-06,0.9168000000000001,0.14476,1.0245103371700002,1.0244274040486365
229,1.05,0.490333333333,0.5676666666669999,1.1526504583503996,0.245,1.15066666667,17.8,0.00207,0.7116666666670001,5.16666666667,0.000599,0.5756666666670001,6.566666666670001,1.0697549711299998,1.0922819523771077
692,1.05,0.4834,0.265,0.5478684531059683,0.2414,1.824,6.928,0.0008437999999999999,0.9866,0.09298,1.1342e-05,0.9124,0.17282,1.01287279286,1.0221932606288868
494,1.0483333333299998,0.48100000000000004,0.26383333333299996,0.5486580618721573,0.24050000000000002,1.8233333333300001,7.57166666667,0.000930666666667,0.992166666667,0.06031666666669999,7.41833333333e-06,0.9116666666669999,0.12845,1.0148629068000001,1.0251286710904557
584,1.05,0.5405,0.265,0.4904661016949153,0.2705,2.04,6.065,0.000643,0.9865,0.0829,8.785e-06,1.02,0.15975,0.9970100542139999,1.0177876322446324
397,1.05,1.45166666667,0.932083333333,0.6430268069245239,0.7252500000000001,1.55666666667,91.2583333333,0.0037158333333300003,0.999833333333,0.0375666666667,1.53016666667e-06,0.778,0.0556333333333,1.21935906631,1.2794800533395203
642,1.05,0.4874,0.2638,0.5415562515056613,0.2438,1.848,7.63,0.0009192,0.9922,0.059620000000000006,7.173999999999999e-06,0.9234,0.15292,1.02513087893,1.0239385842906799
546,1.05,0.6765,0.65425,0.9654427645788337,0.33825000000000005,1.035,201.0,0.0174,1.0,0.068525,5.9175e-06,0.51725,0.113375,1.14328516072,1.1033376592246635
27,1.05,0.48775,0.2645,0.5428400239664469,0.24350000000000002,1.8425,8.7575,0.00104975,0.99125,0.07615,9.1325e-06,0.9209999999999999,0.46985,1.01053566005,1.0136291086511813
235,1.05,0.512,0.2655,0.5180102915951973,0.256,1.93,5.945,0.0006799999999999999,0.9805,0.115,1.31e-05,0.965,0.27295,1.04540055589,1.0165832427993633
673,1.05,0.46925,0.6171666666669999,1.3170049710019398,0.2345,1.0014166666700002,17.035,0.00205241666667,0.813333333333,3.5783333333300003,0.00043125,0.500833333333,5.327500000000001,1.18173573489,1.1613472621446665
251,1.05,0.513,0.263375,0.5130422455344485,0.25675000000000003,1.94875,8.11125,0.000920375,0.99525,0.039125,4.43625e-06,0.9747499999999999,0.071,0.996314439077,1.0228049133026205
478,1.05,0.54,0.266,0.4935897435897436,0.27,2.03,3.2,0.000342,0.9540000000000001,0.141,1.51e-05,1.01,0.355,1.0163787833700002,1.00791094250209
351,1.05,0.6885,0.266,0.3865546218487395,0.34450000000000003,2.59,4.305,0.0003615,0.9705,0.1255,1.0615e-05,1.295,0.22179999999999997,1.0271024575499998,1.0036666185992482
156,1.05,0.511,0.26383333333299996,0.5160983044391374,0.2555,1.94,11.083333333299999,0.00126666666667,0.9956666666670001,0.04818333333330001,5.508333333330001e-06,0.968833333333,0.0953,1.0278408868,1.0187230274571326
485,1.05,1.44875,0.921375,0.6356821589205397,0.7247499999999999,1.57125,81.7,0.00326625,0.99975,0.045075,1.8000000000000001e-06,0.7865000000000001,0.063625,1.3121118162,1.3182518203241962
569,1.05,0.4795,0.263666666667,0.5500507614215432,0.239666666667,1.82,8.44,0.0010279999999999998,0.992833333333,0.06083333333330001,7.406666666669999e-06,0.909333333333,0.1426666666667,1.00232411097,1.024216653205953
242,1.05,0.419125,0.268875,0.6412385400449749,0.20962499999999998,1.55875,64.9625,0.0089925,0.999125,0.0451,6.22625e-06,0.7795000000000001,0.074125,1.00698711755,1.0106109161553063
75,1.05,0.47857142857100005,0.263285714286,0.5502350687796186,0.239285714286,1.8171428571400001,7.735714285710001,0.000942857142857,0.992714285714,0.0566714285714,6.9071428571399996e-06,0.9087142857139999,0.1373142857143,1.0104134231100002,1.0250898125646195
479,1.05,0.7140000000000001,0.266,0.37154471544715445,0.35700000000000004,2.69,2.76,0.00022400000000000002,0.963,0.0982,7.99e-06,1.34,0.22039999999999998,0.984354607034,1.0034753490922705
313,1.05,0.486636363636,0.275363636364,0.5655702228955712,0.24318181818200002,1.77,13.236363636400002,0.00157363636364,0.996818181818,0.0409818181818,4.87454545455e-06,0.884090909091,0.0739,1.0160869060700002,1.0156261428646576
399,1.05,0.4867,0.2691,0.5524183940910173,0.24350000000000002,1.808,8.173,0.0009753,0.9937,0.052860000000000004,6.096000000000001e-06,0.9042,0.12865000000000001,1.0214104614,1.0219575031882897
447,1.05,0.5479999999999999,0.267,0.4873451803984922,0.27399999999999997,2.055,7.79,0.0008395,0.9890000000000001,0.08575,9.23e-06,1.025,0.159,1.0319608411,1.0144305826637254
157,1.05,0.505,0.26433333333299996,0.5234405269273628,0.252166666667,1.91,9.13166666667,0.00106,0.994166666667,0.0531,6.18e-06,0.955166666667,0.1011833333334,1.02536622087,1.019703960254829
214,1.05,0.564,0.268,0.4745139253809774,0.282,2.105,5.39,0.000566,0.985,0.0812,8.53e-06,1.055,0.1623,0.9807987852269999,1.0131924342876202
663,1.05,0.6659999999999999,0.263666666667,0.39505813953373525,0.33299999999999996,2.52666666667,7.563333333330001,0.000660666666667,0.990333333333,0.0737,6.44333333333e-06,1.26,0.145566666667,1.01750796517,1.0109967641483584
50,1.05,1.46666666667,0.9159999999999999,0.6251655629117548,0.732333333333,1.59666666667,82.46666666670001,0.00328,0.9990000000000001,0.0626666666667,2.49e-06,0.7993333333329999,0.12343333333340001,1.07505774641,1.27404880682536
239,1.05,0.6565,0.267,0.4062222222222222,0.32799999999999996,2.46,5.515,0.00049,0.9845,0.0856,7.605e-06,1.23,0.1658,1.0425955288700002,1.0072577718807914
523,1.05,0.4495,0.33375,0.7428292046936115,0.225,1.47875,12.3925,0.0015925000000000002,0.833,2.57475,0.000317275,0.74,4.1175,1.07865802454,1.1133993602371588
435,1.05,0.5055,0.264,0.5229357798165137,0.2525,1.915,7.155,0.00082,0.9840000000000001,0.111,1.27e-05,0.9565,0.2695,1.02034631915,1.0173765433849031
477,1.05,0.5579999999999999,0.268,0.48037190082644626,0.27899999999999997,2.08,5.07,0.000524,0.972,0.139,1.4400000000000001e-05,1.04,0.2452,0.979629389081,1.0080859021744846
654,1.05,0.6228,0.2646,0.42537878787878786,0.3114,2.352,6.782,0.0006417999999999999,0.9928,0.0488,4.62e-06,1.176,0.08966,1.02721034911,1.0138306560155994
172,1.05,0.647571428571,0.263,0.4049286640721078,0.323428571429,2.46285714286,7.1471428571399995,0.000650142857143,0.9944285714290001,0.0392285714286,3.5714285714300003e-06,1.23,0.07010000000000001,1.02884843747,1.0137960416520486
10,1.05,0.47100000000000003,0.26325,0.5586086240605125,0.23550000000000001,1.79,10.5466666667,0.0013050000000000002,0.995583333333,0.045058333333300005,5.57583333333e-06,0.895,0.39014166666630007,1.01907520466,1.016934470024787
68,1.05,0.536857142857,0.39728571428599996,0.7402904957372498,0.268285714286,1.35,137.428571429,0.0151857142857,1.0,0.04421428571430001,4.88714285714e-06,0.675428571429,0.07891428571430001,1.0170143724299998,1.0291966133977208
489,1.05,0.648833333333,0.265,0.4081818181818182,0.324166666667,2.44833333333,6.94166666667,0.000630833333333,0.9925,0.0512,4.6566666666699995e-06,1.225,0.07730000000000001,1.0151403129899998,1.0116029641376618
713,1.05,0.4838,0.2646,0.5465626523647001,0.2418,1.828,7.88,0.0009603999999999999,0.9894,0.08434,1.026e-05,0.915,0.19292,1.01885966078,1.021698239001894
365,1.05,0.562,0.263,0.4673469387755102,0.281,2.14,2.07,0.00021099999999999998,0.953,0.0921,9.4e-06,1.07,0.2121,1.02609754463,1.0106496246682786
390,1.05,0.4721,0.2635,0.5579447430928867,0.2361,1.7930000000000001,8.451,0.001056,0.9939,0.052020000000000004,6.4929999999999995e-06,0.8964,0.11649999999999999,1.01791585772,1.0260787299649614
181,1.05,0.5535,0.39575,0.715046604527297,0.27675,1.3975,139.5,0.014825,0.99975,0.06135,6.525e-06,0.6992499999999999,0.10205,1.0022268645899999,1.0263976478804038
263,1.05,0.66125,0.26375,0.39955947136563874,0.33049999999999996,2.505,6.0875,0.00053575,0.99175,0.0499,4.3925e-06,1.2525,0.096825,1.01716653369,1.0138536927647945
422,1.05,0.46945454545500004,0.263272727273,0.560541719269992,0.234909090909,1.7845454545500001,9.55,0.00120454545455,0.994818181818,0.049290909090900004,6.22e-06,0.892,0.12426363636360002,1.02218289094,1.025447808573656
294,1.05,0.491,0.264,0.5375186846038864,0.24575,1.86,7.45,0.00089075,0.98975,0.07565,9.0425e-06,0.9305,0.199,1.00061859897,1.0221050408737562
667,1.05,0.508,0.264666666667,0.5215716486901084,0.254,1.92,6.95,0.000802666666667,0.988,0.08353333333330001,9.65e-06,0.9596666666670001,0.147833333333,1.0034672849200001,1.0209566356790662
210,1.05,0.569,0.3965,0.6973140495867769,0.2845,1.43,98.3,0.010159999999999999,0.9990000000000001,0.0824,8.515e-06,0.7170000000000001,0.15625,1.00148987787,0.968909014249542
332,1.05,0.486571428571,0.273142857143,0.5612661970607116,0.243285714286,1.7821428571400002,12.5714285714,0.00153071428571,0.997285714286,0.0337714285714,4.10714285714e-06,0.8907142857139999,0.0583428571428,1.06479546323,1.0175595806569326
302,1.05,0.49425,0.266,0.5378675378675378,0.24725000000000003,1.86,7.1,0.0008439999999999999,0.98475,0.1105,1.31775e-05,0.92925,0.2197,0.985489032762,1.0202270789165389
652,1.05,0.4594,0.4018,0.8761129483591962,0.2296,1.4192,13.798,0.001704,0.8336,2.6378,0.00031630000000000004,0.71,4.568,1.13109319745,1.140065300047132
436,1.05,0.4455,0.265,0.5946475195822454,0.223,1.685,65.0,0.008485,0.9990000000000001,0.08800000000000001,1.15e-05,0.8420000000000001,0.16075,1.00258356182,1.0124433834301592
113,1.05,0.6920000000000001,0.265,0.3825,0.3465,2.615,5.15,0.0004295,0.982,0.09255,7.715e-06,1.305,0.1974,1.02651995647,1.0097793932570187
441,1.05,0.563,0.397,0.7051148225469729,0.282,1.42,118.0,0.0123,0.9990000000000001,0.0901,9.41e-06,0.7095,0.1565,1.02768196876,1.0072001850602137
122,1.05,0.59,0.3965,0.6742349457058243,0.2945,1.485,107.5,0.0106,0.9990000000000001,0.1055,1.045e-05,0.743,0.19190000000000002,1.0281014754200002,0.9562227492902792
542,1.05,0.53,0.264666666667,0.4987099152231842,0.265333333333,2.00333333333,6.56,0.0007253333333330001,0.9906666666670001,0.0616,6.81666666667e-06,1.0,0.1222333333333,1.00812881829,1.0200203685965645
327,1.05,0.623142857143,0.27964285714299997,0.4489659773197423,0.3115,2.22714285714,9.325,0.000870714285714,0.996642857143,0.0304,2.83785714286e-06,1.11428571429,0.061357142857100005,1.02229381969,1.001515589537757
49,1.05,0.50025,0.77475,1.5479930191972078,0.25025,0.71175,18.575,0.002105,0.7755,4.24,0.00047875,0.35575,6.045,1.0256129733200001,0.9625335938984072
249,1.05,0.615625,0.268,0.4354191263282172,0.30774999999999997,2.29875,9.635,0.000909625,0.996125,0.036375,3.4325e-06,1.14875,0.0730625,1.0107930756799999,1.009624102020742
363,1.05,0.978,0.527,0.5390532544378698,0.489,1.85,4.35,0.000258,0.976,0.102,6.06e-06,0.927,0.2192,1.02887373534,1.0220539954231866
578,1.05,0.6795,0.2675,0.39316239316239315,0.3395,2.54,5.905,0.0005055,0.987,0.07725,6.62e-06,1.27,0.15464999999999998,0.9974737826450001,1.0064724411309474
580,1.045,0.563,0.3945,0.7010841507485803,0.2815,1.425,154.5,0.01595,0.9990000000000001,0.0825,8.52e-06,0.713,0.15005000000000002,0.9938178065009999,1.0410452698489832
37,1.05,0.658214285714,0.654785714286,0.993698802775039,0.329142857143,1.0052857142899998,217.0,0.01915,1.0,0.0295071428571,2.60285714286e-06,0.502714285714,0.0469785714286,1.0472309139899998,1.1587985573618336
597,1.05,0.46723529411799997,0.263882352941,0.5647119040656495,0.233647058824,1.7694117647099998,8.71294117647,0.00108352941176,0.995117647059,0.0416823529412,5.17e-06,0.8851176470590001,0.10149411764710001,1.02263643493,1.0261361982812656
48,1.05,0.937,0.525333333333,0.5610062893081761,0.468333333333,1.78333333333,12.7,0.000798333333333,0.995,0.0624,3.92e-06,0.891666666667,0.1271,1.00248289884,1.0234141062584885
196,1.05,0.439333333333,0.26633333333299997,0.60627802690655,0.22,1.65333333333,80.6,0.010833333333299998,0.9990000000000001,0.0670666666667,9.03666666667e-06,0.825,0.1210666666666,0.989022164907,1.017348106744684
285,1.05,0.652,0.2634,0.40410714285714283,0.326,2.476,8.666,0.0007734,0.9952,0.04256,3.8019999999999998e-06,1.238,0.07998,1.02851233825,1.0135987770885673
261,1.05,0.489,0.26425,0.5410325276037004,0.2445,1.8525,6.8575,0.00081825,0.988,0.08165,9.7225e-06,0.925,0.18255,1.00812687799,1.0232879225713587
18,1.05,0.4875,0.26575,0.5455095252494708,0.24350000000000002,1.8325,8.3975,0.00101425,0.9895,0.0876,1.06025e-05,0.91675,0.479625,1.0118943862799998,1.0132392672767074
487,1.05,0.509,0.26333333333299996,0.5171146780125768,0.254333333333,1.935,8.26833333333,0.0009595000000000001,0.9953333333329999,0.0396833333333,4.60166666667e-06,0.9670000000000001,0.06839999999999999,1.01905120434,1.022600878733497
