Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-1-learning-56-regular-45,2395.0,0.97925,0.137,0.1425,2300.0,0.27425,6.865,0.98175,3.78225,0.001681,0.58375,1.91075,0.00081745,1.96,49.0,1.938,2100.0,1.87
batch-3-learning-100-regular-45,4036.0,1.038,0.16692,0.2402,2806.0,0.334,8.354,0.859,5.2928,0.0019128,0.6184,2.049,0.00085268,1.7144,42.92,2.3048,2100.0,1.97
batch-5-learning-89-regular-67,6185.0,1.03633333333,0.198883333333,0.3685,3341.66666667,0.397666666667,9.94833333333,0.771166666667,9.35,0.002433,0.607833333333,3.613,0.00105153333333,1.54433333333,38.5833333333,3.226,2100.0,2.11333333333
batch-1-learning-12-regular-1,2585.0,1.00875,0.14335,0.15375,2410.0,0.28675,7.16,0.97925,4.0075,0.00186875,0.609,1.9715,0.000868475,1.9575,48.9,1.9565,2100.0,1.8825
batch-2-learning-100-regular-89,3372.0,0.978,0.15144,0.2006,2546.0,0.3028,7.576,0.887,4.2552,0.0016096,0.6248,1.8138,0.0007007,1.775,44.36,2.0546,2100.0,1.842
batch-4-learning-34-regular-45,3850.0,1.0276,0.15822,0.229,2660.0,0.3164,7.904,0.8566,5.263,0.0019456,0.6006,2.252,0.00088898,1.7106,42.76,2.3486,2100.0,1.942
batch-5-learning-100-regular-89,6323.33333333,1.04666666667,0.20215,0.376666666667,3398.33333333,0.4045,10.0966666667,0.769833333333,9.30233333333,0.00236066666667,0.616666666667,3.48683333333,0.000982166666667,1.5405,38.55,3.265,2100.0,2.12333333333
batch-2-learning-56-regular-1,3416.0,0.9812,0.15206,0.2032,2558.0,0.3042,7.604,0.8848,4.3478,0.001645,0.6104,1.8782,0.0007292,1.7656,44.16,2.089,2100.0,1.846
batch-4-learning-23-regular-34,4126.0,1.0466,0.16516,0.2456,2774.0,0.3302,8.262,0.8488,5.7182,0.0020766,0.6102,2.3714,0.00096256,1.7004,42.5,2.4206,2100.0,1.976
batch-2-learning-67-regular-34,3996.0,1.037,0.16756,0.2378,2814.0,0.3348,8.372,0.8626,5.0234,0.001991,0.641,1.9178,0.00082182,1.7242,43.12,2.0918,2100.0,1.856
batch-2-learning-78-regular-56,3560.0,0.984,0.15654,0.2118,2630.0,0.3128,7.832,0.8848,4.2588,0.0016048,0.633,1.804,0.0007106,1.7676,44.22,2.073,2100.0,1.854
batch-3-learning-78-regular-23,3744.0,1.0116,0.15848,0.2226,2666.0,0.3174,7.936,0.8658,5.0824,0.0018518,0.616,2.021,0.00080524,1.7318,43.28,2.2542,2100.0,1.946
batch-3-learning-89-regular-78,4162.0,1.054,0.16984,0.2476,2850.0,0.3394,8.476,0.8548,5.2948,0.0019138,0.6134,2.088,0.0008756,1.7068,42.68,2.3046,2100.0,1.968
batch-1-learning-23-regular-23,2502.5,1.006,0.139925,0.149,2350.0,0.2795,6.9875,0.96975,3.24975,0.00155625,0.6085,1.72275,0.0008089,1.945,48.525,1.9415,2100.0,1.8975
batch-2-learning-23-regular-67,2672.5,1.04925,0.14345,0.159,2410.0,0.287,7.1825,0.95525,3.513,0.001746,0.60375,1.9055,0.000938625,1.9125,47.725,1.96275,2100.0,1.92
batch-2-learning-56-regular-89,3874.0,1.019,0.16462,0.2304,2768.0,0.3296,8.252,0.8702,4.26,0.001607,0.6116,1.818,0.00074672,1.7408,43.5,2.1054,2100.0,1.858
batch-1-learning-67-regular-12,2532.5,1.01325,0.140125,0.15075,2350.0,0.28,7.005,0.9605,3.679,0.00171075,0.58175,2.10325,0.00095825,1.925,48.1,1.9585,2100.0,1.885
batch-1-learning-45-regular-1,2657.5,1.04575,0.143,0.15825,2402.5,0.286,7.15,0.95675,3.46975,0.001744,0.59325,1.899,0.0009432,1.9125,47.825,1.96825,2100.0,1.915
batch-5-learning-89-regular-23,6318.33333333,1.04716666667,0.201983333333,0.376333333333,3395.0,0.404,10.1016666667,0.768833333333,9.20733333333,0.00234883333333,0.612,3.48616666667,0.000989,1.536,38.4166666667,3.26683333333,2100.0,2.125
batch-3-learning-45-regular-1,3932.0,1.0206,0.16412,0.234,2754.0,0.3282,8.204,0.866,5.1398,0.0018354,0.6376,1.8928,0.00077656,1.7306,43.3,2.276,2100.0,1.968
batch-2-learning-12-regular-23,3506.0,0.9804,0.15474,0.2086,2598.0,0.3092,7.728,0.885,4.245,0.0015842,0.6176,1.7778,0.00068746,1.771,44.28,2.0862,2100.0,1.852
batch-1-learning-67-regular-34,2672.5,1.04925,0.1431,0.159,2405.0,0.2865,7.16,0.954,3.599,0.001782,0.59125,1.982,0.000966925,1.9125,47.75,1.95975,2100.0,1.9125
batch-1-learning-89-regular-34,2657.5,1.04575,0.14295,0.15825,2400.0,0.286,7.13,0.9545,3.5295,0.001719,0.5735,1.9625,0.00094525,1.9125,47.775,1.98275,2100.0,1.9075
batch-2-learning-67-regular-100,3428.0,0.9794,0.15236,0.204,2562.0,0.3046,7.616,0.885,4.2126,0.001581,0.6294,1.7292,0.00066822,1.7722,44.26,2.0724,2100.0,1.848
batch-4-learning-45-regular-67,4150.0,1.058,0.16522,0.247,2774.0,0.33,8.248,0.846,5.641,0.0020572,0.6026,2.3568,0.00095682,1.6898,42.28,2.4314,2100.0,1.972
batch-5-learning-78-regular-56,5715.0,0.9875,0.1887,0.3405,3170.0,0.377333333333,9.44166666667,0.7975,8.533,0.00217216666667,0.615,3.34633333333,0.000916033333333,1.59583333333,39.8666666667,3.078,2100.0,2.06166666667
batch-5-learning-34-regular-78,6286.66666667,1.04716666667,0.2011,0.374333333333,3376.66666667,0.402,10.0516666667,0.766833333333,9.1615,0.00233666666667,0.6135,3.45316666667,0.0009796,1.53416666667,38.3666666667,3.23616666667,2100.0,2.11333333333
batch-1-learning-34-regular-78,3328.0,0.974,0.14996,0.1982,2520.0,0.3004,7.52,0.8882,3.7198,0.0014388,0.6136,1.8034,0.00068502,1.7788,44.46,1.9436,2100.0,1.752
batch-3-learning-12-regular-12,3438.0,0.9792,0.15122,0.2046,2540.0,0.3022,7.56,0.8802,4.8972,0.0018246,0.6164,1.9646,0.0007607,1.7582,44.0,2.1914,2100.0,1.904
