Configuration,stresser,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
layer-3-particle-100,facedetect:eyes-0-pyramid-11-selectivity-1,2286.25,1.07,0.1815,0.135375,3065.0,0.363375,9.0825,1.34,0.51075,0.000166625,0.950125,0.02779875,9.05125e-06,2.68,67.0625,0.02357,2108.75,0.0111075,0.966604906753
layer-3-particle-100,stress:cpu_4_io_0_vm_0_vmbytes_256K,8875.0,1.04875,1.25625,0.521875,21350.0,2.51,62.8,2.40625,0.0374,1.75875e-06,0.896125,0.003788625,1.7975e-07,4.81,120.25,0.002204625,2125.0,0.00025905,1.12468409329
layer-3-particle-100,swaptions:num-300000,2270.0,1.07,0.354625,0.1345,5981.25,0.709625,17.7375,2.635,0.0784125,1.313375e-05,0.83375,0.01224625,2.05075e-06,5.27,131.625,0.00705875,2106.25,0.001200375,0.988661193094
layer-3-particle-100,ferret:eyes-2-pyramid-11-selectivity-1,2275.0,1.07,0.18225,0.135,3073.75,0.36425,9.10875,1.3525,0.463875,0.000151,0.94475,0.0273875,8.9325e-06,2.70125,67.525,0.0232375,2107.5,0.011445,0.970198371798
layer-3-particle-100,facedetect:eyes-0-pyramid-5-selectivity-1,2313.75,1.06875,0.1815,0.13525,3107.5,0.363,9.0725,1.3425,0.508,0.00016325,0.950375,0.0272875,8.76875e-06,2.685,67.15,0.0257125,2140.0,0.01335375,0.991381108625
layer-3-particle-100,swaptions:num-100000,2306.25,1.07,0.353625,0.1345,6065.0,0.707,17.6875,2.63,0.08375,1.3825e-05,0.928375,0.00662125,1.101375e-06,5.25625,131.375,0.00378125,2145.0,0.000577125,0.96587788091
layer-3-particle-100,facedetect:eyes-1-pyramid-16-selectivity-0,2292.5,1.053375,0.180625,0.136125,3046.25,0.361375,9.03375,1.32875,0.609375,0.000202375,0.933875,0.0394,1.315625e-05,2.6575,66.45,0.0406,2106.25,0.0211875,0.974143885125
layer-3-particle-100,facedetect:eyes-1-pyramid-5-selectivity-0,2310.0,1.0585,0.186125,0.137,3135.0,0.372125,9.3025,1.36,0.72425,0.000232625,0.91825,0.0594375,1.9075e-05,2.715,67.9125,0.06765,2106.25,0.036325,0.925812325549
layer-3-particle-100,stress:cpu_1_io_0_vm_0_vmbytes_512K,2285.0,1.0675,0.323375,0.1335,5536.25,0.647,16.175,2.42375,0.0348,6.31e-06,0.90125,0.003415,6.2875e-07,4.84625,121.0,0.0019875,2140.0,0.00019545,0.973307805405
layer-3-particle-100,stress:cpu_4_io_3_vm_1_vmbytes_128K,12437.5,1.04875,1.2225,0.7405,20550.0,2.44375,61.1375,1.65375,6.6925,0.000325875,0.99475,0.01312375,6.47125e-07,3.30875,82.6875,0.0105,2100.0,0.00239375,1.24655907057
layer-3-particle-100,stress:cpu_3_io_1_vm_0_vmbytes_1M,7225.0,1.04875,0.943125,0.42875,15912.5,1.88625,47.15,2.205,2.38125,0.0001498,0.978875,0.0509875,3.211e-06,4.41125,110.25,0.04236125,2106.25,0.0155025,0.998653604063
layer-3-particle-100,stress:cpu_3_io_0_vm_2_vmbytes_256K,11100.0,1.04875,1.081625,0.6515,18462.5,2.1675,54.1625,1.66125,21.15,0.001128375,0.99975,0.002843375,1.633875e-07,3.325,83.125,0.00181075,2126.25,0.000258025,1.10667174839
layer-3-particle-100,stress:cpu_0_io_0_vm_3_vmbytes_128K,6627.5,1.04875,0.613125,0.392125,10350.0,1.2275,30.65,1.56,4.52625,0.000436625,0.999,0.004064375,3.9175e-07,3.13,78.2,0.002798125,2112.5,0.0003186625,0.99762150699
layer-4-particle-533,facedetect:eyes-0-pyramid-5-selectivity-1,2317.5,1.0675,0.18225,0.136625,3088.75,0.364125,9.10375,1.33375,0.63525,0.000204375,0.9485,0.0335125,1.08825e-05,2.6675,66.675,0.0313375,2121.25,0.01481375,1.04913506921
layer-4-particle-533,stress:cpu_0_io_0_vm_3_vmbytes_128K,6612.5,1.04875,0.602375,0.39225,10137.5,1.2075,30.15,1.5375,4.0975,0.000403625,0.995875,0.017567375,1.7197375e-06,3.07,76.8,0.0081325,2106.25,0.000759375,1.06823564723
layer-4-particle-533,facedetect:eyes-0-pyramid-11-selectivity-1,2305.0,1.06875,0.181125,0.134375,3108.75,0.36225,9.0575,1.34625,0.57825,0.000186625,0.966625,0.0221475,7.16125e-06,2.69625,67.3625,0.01915,2143.75,0.00963375,1.03299994114
layer-4-particle-533,facedetect:eyes-1-pyramid-5-selectivity-0,2337.5,1.058875,0.185375,0.13675,3171.25,0.370875,9.26625,1.35625,0.674,0.000214375,0.934625,0.045025,1.44225e-05,2.71125,67.8,0.05845,2137.5,0.0332,1.05212750362
layer-4-particle-533,stress:cpu_4_io_0_vm_0_vmbytes_256K,8817.5,1.04875,1.265,0.521875,21387.5,2.535,63.3375,2.42625,0.036575,1.70875e-06,0.898875,0.003531375,1.65575e-07,4.855,121.375,0.002067,2112.5,0.000234525,1.05832067352
layer-4-particle-533,stress:cpu_3_io_0_vm_2_vmbytes_256K,11012.5,1.04875,1.11,0.652375,18762.5,2.22125,55.5625,1.70375,37.025,0.00197125,1.0,0.005741875,3.052625e-07,3.4075,85.2,0.003918,2110.0,0.000909125,1.14102630259
layer-4-particle-533,facedetect:eyes-1-pyramid-16-selectivity-0,2306.25,1.06125,0.181375,0.1345,3105.0,0.36275,9.06625,1.345,0.549,0.000178375,0.94125,0.0333875,1.09275e-05,2.69125,67.2875,0.0353625,2140.0,0.0194,1.04004493622
layer-4-particle-533,stress:cpu_1_io_0_vm_0_vmbytes_512K,2232.5,1.06125,0.3155,0.133,5303.75,0.631125,15.7875,2.375,0.0315125,5.9625e-06,0.866,0.00396375,7.61e-07,4.74875,118.75,0.002273625,2100.0,0.00023525,1.03993242208
layer-4-particle-533,swaptions:num-100000,2311.25,1.07,0.355125,0.13475,6092.5,0.71025,17.775,2.63625,0.0915625,1.50375e-05,0.8985,0.0088075,1.44775e-06,5.26875,131.625,0.00530625,2145.0,0.000945125,1.03903025747
layer-4-particle-533,stress:cpu_4_io_3_vm_1_vmbytes_128K,12725.0,1.04875,1.29625,0.75575,21800.0,2.5925,64.875,1.71625,6.71625,0.000308125,0.996875,0.005605,2.58875e-07,3.43375,85.875,0.00502875,2100.0,0.0015475,1.12111366596
layer-4-particle-533,facedetect:eyes-1-pyramid-11-selectivity-2,2295.0,1.06625,0.182,0.134,3110.0,0.363625,9.09375,1.35625,0.46075,0.00014875,0.95725,0.0230775,7.46625e-06,2.71125,67.775,0.017585,2137.5,0.00836875,1.0469707894
layer-4-particle-533,ferret:eyes-2-pyramid-11-selectivity-1,2275.0,1.06875,0.181375,0.134375,3071.25,0.363,9.0725,1.35,0.521125,0.000169875,0.96275,0.02221875,7.25375e-06,2.7,67.4875,0.0185875,2113.75,0.009765,1.04851884517
layer-4-particle-533,stress:cpu_0_io_3_vm_1_vmbytes_256K,3498.75,1.05,0.198375,0.20825,3336.25,0.397,9.9475,0.9585,9.57875,0.00286125,0.99925,0.005605,1.75125e-06,1.9175,47.925,0.0049525,2100.0,0.00149625,1.03943533995
layer-4-particle-533,stress:cpu_0_io_2_vm_1_vmbytes_256K,2630.0,1.0435,0.165375,0.156125,2787.5,0.330875,8.27,1.059125,8.8625,0.0031875,0.999375,0.00585125,2.13675e-06,2.12,52.9875,0.005705,2105.0,0.00164,1.03994757125
layer-4-particle-533,stress:cpu_3_io_1_vm_0_vmbytes_1M,7215.0,1.04875,0.9485,0.42775,16000.0,1.895,47.425,2.2175,1.945,0.0001211375,0.997125,0.0039765,2.52525e-07,4.43625,110.75,0.0045225,2107.5,0.0013725,1.05640067407
layer-4-particle-533,swaptions:num-300000,2298.75,1.06125,0.352625,0.134,6046.25,0.705375,17.65,2.6325,0.138925,2.296e-05,0.867625,0.0186075,3.06525e-06,5.26625,131.5,0.0092875,2148.75,0.001278375,1.04578678712
layer-5-particle-2266,stress:cpu_0_io_2_vm_1_vmbytes_256K,2647.5,1.05,0.162625,0.157,2745.0,0.32525,8.1325,1.0365,15.625,0.00570375,0.99975,0.00519125,1.91475e-06,2.07375,51.8625,0.005285,2107.5,0.001805,1.01212945318
layer-5-particle-2266,swaptions:num-300000,2357.5,1.06625,0.358125,0.139625,6046.25,0.71675,17.925,2.57875,0.2917125,4.53675e-05,0.838625,0.03850625,6.00975e-06,5.16,129.125,0.02834375,2107.5,0.0084525,1.0067499178
layer-5-particle-2266,facedetect:eyes-1-pyramid-5-selectivity-0,2312.5,1.06125,0.185625,0.13725,3130.0,0.37125,9.2825,1.3525,0.668125,0.000214125,0.9295,0.0469375,1.5075e-05,2.7075,67.65,0.0596,2106.25,0.0341375,1.01171581219
layer-5-particle-2266,stress:cpu_3_io_0_vm_2_vmbytes_256K,11037.5,1.04875,1.12625,0.65225,19037.5,2.25375,56.3625,1.7275,33.0625,0.00173625,0.99975,0.0090225,4.78e-07,3.455,86.3625,0.0054275,2112.5,0.000900375,1.16455179491
layer-5-particle-2266,stress:cpu_4_io_3_vm_1_vmbytes_128K,12587.5,1.04875,1.205,0.749,20237.5,2.4075,60.225,1.61,11.8625,0.000585625,0.999375,0.0047,2.3385e-07,3.21625,80.425,0.00537,2100.0,0.00166625,1.26551440248
layer-5-particle-2266,swaptions:num-100000,2252.5,1.0625,0.351375,0.13375,5921.25,0.70275,17.5375,2.62875,0.0888625,1.50625e-05,0.937375,0.0056975,9.78875e-07,5.25375,131.375,0.0035675,2106.25,0.000534125,1.01714910921
layer-5-particle-2266,facedetect:eyes-1-pyramid-16-selectivity-0,2303.75,1.047625,0.180875,0.1345,3097.5,0.3615,9.0375,1.345,0.639875,0.000210125,0.939875,0.0382875,1.28325e-05,2.69,67.25,0.039025,2141.25,0.02065,1.01289533179
layer-5-particle-2266,facedetect:eyes-0-pyramid-11-selectivity-1,2330.0,1.07,0.180875,0.134375,3140.0,0.3625,9.06,1.3475,0.559875,0.000178875,0.96675,0.02169125,6.96625e-06,2.695,67.375,0.018475,2165.0,0.00939,1.01020922763
layer-5-particle-2266,ferret:eyes-2-pyramid-11-selectivity-1,2311.25,1.06875,0.182125,0.134875,3120.0,0.36475,9.1125,1.35,0.498375,0.000160125,0.949875,0.0270375,8.69875e-06,2.70125,67.5,0.023325,2140.0,0.01145375,1.01303976001
layer-5-particle-2266,stress:cpu_0_io_3_vm_1_vmbytes_256K,3463.75,1.04625,0.174875,0.206,2941.25,0.350125,8.7525,0.853,30.9375,0.010505,0.999875,0.00610375,2.180625e-06,1.70625,42.65,0.00493875,2100.0,0.00149375,1.02329191604
layer-5-particle-2266,stress:cpu_1_io_0_vm_0_vmbytes_512K,2262.5,1.0675,0.32575,0.133625,5518.75,0.651625,16.2875,2.43875,0.032775,5.945e-06,0.8835,0.0036765,6.71e-07,4.87625,121.875,0.002176875,2116.25,0.0002181875,1.01358254581
