Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
num-100000,ferret:eyes-1-pyramid-16-selectivity-0,2347.5,1.037875,0.1755,0.137,3010.0,0.351625,8.7875,1.28375,1.39875,0.00046975,0.961,0.055075,1.88575e-05,2.56375,64.125,0.0486625,2140.0,0.021175,0.98031310438
num-100000,ferret:eyes-1-pyramid-16-selectivity-2,2367.5,1.06,0.17725,0.138,3038.75,0.354375,8.86375,1.28375,1.29875,0.00042825,0.972625,0.03755625,1.2495e-05,2.56625,64.175,0.0263875,2142.5,0.00957125,0.9777458511
num-100000,stress:cpu_4_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.1175,1.045,18837.5,2.24,55.9875,1.0775,26.5875,0.0014125,0.999375,0.021985,1.165625e-06,2.15125,53.8125,0.01199875,2100.0,0.001549125,1.69714289361
num-100000,stress:cpu_5_io_2_vm_3_vmbytes_1M,17512.5,1.05,1.215,1.0425,20375.0,2.42375,60.6125,1.165,166.625,0.00818,0.99975,0.048375,2.389e-06,2.33125,58.275,0.02304,2100.0,0.00439375,1.60601028856
num-100000,stress:cpu_5_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.37375,1.045,23087.5,2.74625,68.65,1.32,70.225,0.00304375,0.999875,0.02266,9.78625e-07,2.6375,65.975,0.01278625,2100.0,0.002061875,1.60071492978
num-100000,ferret:eyes-2-pyramid-7-selectivity-2,2367.5,1.05875,0.179125,0.13875,3055.0,0.358125,8.95625,1.29125,1.36,0.00044475,0.966375,0.0453625,1.481125e-05,2.5825,64.5375,0.0375375,2131.25,0.01349375,0.96921519873
num-900000,svm:batch-4-learning-34-regular-12,5087.5,1.039625,0.1680125,0.303,2822.5,0.336125,8.40625,0.68475,6.82875,0.002145125,0.633625,2.58675,0.00083175,1.36975,34.2875,2.40675,2100.0,1.87625,1.11877746355
num-900000,stress:cpu_4_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.21625,1.045,20437.5,2.4325,60.8375,1.17,45.0125,0.00220375,0.99925,0.02895,1.418e-06,2.33875,58.475,0.01604375,2100.0,0.002177375,1.60899690433
num-900000,ferret:eyes-1-pyramid-16-selectivity-2,2328.75,1.0575,0.17775,0.1385,2982.5,0.355125,8.8825,1.28,1.33875,0.000449125,0.965625,0.04597,1.536625e-05,2.5625,64.05,0.037075,2100.0,0.01445625,0.982878156617
num-900000,stress:cpu_5_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.33375,1.045,22400.0,2.6675,66.7,1.28125,69.55,0.003095,0.99975,0.023545,1.058625e-06,2.56375,64.075,0.013425,2100.0,0.001869125,1.6114125131
num-900000,ferret:eyes-2-pyramid-7-selectivity-2,2357.5,1.049375,0.17725,0.137875,3030.0,0.354625,8.865,1.28625,1.60625,0.00053175,0.966875,0.050575,1.68175e-05,2.5725,64.2875,0.043475,2133.75,0.01504,0.978796429294
num-900000,stress:cpu_5_io_2_vm_3_vmbytes_1M,17500.0,1.04875,1.35,1.045,22687.5,2.70125,67.5125,1.3,300.875,0.01325,1.0,0.0324,1.4305e-06,2.5975,64.9125,0.0181,2100.0,0.00320625,1.61581590623
num-900000,ferret:eyes-1-pyramid-16-selectivity-0,2355.0,1.05375,0.17825,0.139875,3005.0,0.3565,8.91,1.27375,1.52125,0.00050775,0.95925,0.059175,1.97225e-05,2.55125,63.775,0.05765,2106.25,0.0237375,0.981857120173
num-900000,ferret:eyes-2-pyramid-7-selectivity-1,2350.0,1.037625,0.174875,0.13675,3005.0,0.349625,8.74125,1.27875,1.505,0.00050725,0.960875,0.0569,1.931e-05,2.55625,63.95,0.0539625,2148.75,0.0201875,0.985769843674
