Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-2-learning-45-regular-100,4126.0,1.0206,0.18534,0.2452,3116.0,0.3706,9.26,0.7894,4.8332,0.001439,0.635,1.7912,0.0006204,1.578,39.48,2.0552,2100.0,1.774
batch-1-learning-78-regular-12,4286.0,1.0458,0.18502,0.2544,3114.0,0.3698,9.242,0.7832,4.2192,0.0013226,0.628,1.771,0.0006098,1.568,39.18,1.883,2102.0,1.652
batch-2-learning-1-regular-1,4022.0,1.01,0.18244,0.239,3070.0,0.3654,9.126,0.7924,4.6838,0.0014228,0.6372,1.7598,0.0006178,1.582,39.58,2.0372,2100.0,1.762
batch-3-learning-23-regular-12,4230.0,1.0322,0.1894,0.2518,3186.0,0.379,9.474,0.791,5.1718,0.0014536,0.624,1.9662,0.0006328,1.578,39.52,2.1836,2100.0,1.834
batch-5-learning-34-regular-89,4372.0,1.0466,0.19984,0.2602,3362.0,0.3998,9.992,0.7968,5.1146,0.0014004,0.6058,2.1244,0.0006462,1.596,39.84,2.2882,2100.0,1.85
batch-1-learning-45-regular-89,4132.0,1.0408,0.1818,0.2466,3054.0,0.3634,9.084,0.7802,4.1144,0.0013476,0.6408,1.6918,0.0006005,1.56,39.0,1.8562,2100.0,1.648
batch-2-learning-89-regular-12,4296.0,1.0372,0.18978,0.255,3190.0,0.3794,9.49,0.7856,4.9128,0.0014456,0.647,1.8008,0.0006124,1.57,39.24,2.0552,2100.0,1.77
batch-1-learning-100-regular-67,4110.0,1.0294,0.1805,0.2446,3038.0,0.361,9.036,0.7852,4.082,0.0013344,0.639,1.6782,0.00060178,1.57,39.24,1.861,2100.0,1.648
batch-1-learning-56-regular-1,4192.0,1.038,0.18322,0.2492,3082.0,0.3668,9.172,0.7856,4.1892,0.001325,0.629,1.7558,0.0006108,1.57,39.3,1.8708,2100.0,1.648
batch-3-learning-34-regular-23,4228.0,1.0292,0.19002,0.2516,3194.0,0.38,9.492,0.7926,4.804,0.0014036,0.623,1.8956,0.0006146,1.586,39.64,2.171,2100.0,1.826
batch-2-learning-45-regular-45,4056.0,1.0184,0.183,0.2408,3076.0,0.366,9.142,0.788,4.486,0.0014036,0.6242,1.821,0.0006416,1.574,39.36,2.0428,2100.0,1.762
batch-3-learning-45-regular-56,4150.0,1.0206,0.18682,0.2472,3140.0,0.3738,9.336,0.7908,5.1604,0.0014784,0.6212,1.9744,0.000644,1.582,39.54,2.1732,2100.0,1.818
batch-3-learning-100-regular-78,4352.0,1.0488,0.19284,0.2582,3244.0,0.386,9.65,0.7932,5.1908,0.0014204,0.62,1.99,0.0006268,1.584,39.62,2.1956,2100.0,1.832
batch-1-learning-56-regular-34,4106.0,1.0294,0.18024,0.2438,3028.0,0.3604,9.02,0.7816,4.1056,0.0013314,0.635,1.697,0.00060492,1.562,39.04,1.8536,2100.0,1.646
batch-5-learning-1-regular-45,4130.0,1.0206,0.19094,0.2458,3210.0,0.382,9.546,0.7984,5.3458,0.0014778,0.6198,2.0784,0.0006462,1.594,39.9,2.2368,2100.0,1.838
batch-2-learning-34-regular-89,3594.0,0.9806,0.16824,0.214,2828.0,0.3364,8.404,0.7882,4.6008,0.0016132,0.6356,1.7638,0.0006776,1.576,39.38,2.26,2100.0,1.7186
batch-5-learning-89-regular-56,4126.0,1.0204,0.19162,0.2458,3220.0,0.383,9.578,0.799,5.0334,0.0014648,0.612,2.1038,0.0006648,1.598,39.92,2.2402,2100.0,1.832
batch-2-learning-67-regular-1,4274.0,1.038,0.18896,0.2546,3174.0,0.3778,9.444,0.7856,4.5452,0.0013662,0.6232,1.8512,0.0006294,1.572,39.26,2.053,2100.0,1.77
batch-4-learning-34-regular-56,4086.0,1.0148,0.1848,0.2426,3104.0,0.3694,9.236,0.7888,5.3942,0.0015464,0.6146,2.1348,0.000673,1.578,39.46,2.228,2100.0,1.828
batch-4-learning-12-regular-100,4304.0,1.041,0.19118,0.2558,3210.0,0.382,9.556,0.7856,5.32,0.0014574,0.6204,2.055,0.0006268,1.572,39.34,2.2624,2100.0,1.848
batch-2-learning-67-regular-45,4212.0,1.0368,0.18714,0.2502,3146.0,0.3744,9.356,0.7824,4.6486,0.001368,0.6344,1.6774,0.0005842,1.564,39.12,2.0384,2100.0,1.772
batch-4-learning-67-regular-89,4412.0,1.0466,0.19558,0.2624,3284.0,0.3908,9.776,0.793,5.492,0.001455,0.6074,2.2128,0.000657,1.584,39.6,2.291,2100.0,1.858
batch-3-learning-78-regular-56,4296.0,1.0372,0.19154,0.2548,3224.0,0.3836,9.578,0.7898,5.2938,0.001468,0.6218,2.0282,0.000646,1.582,39.54,2.1758,2100.0,1.836
batch-2-learning-78-regular-67,4406.0,1.0466,0.19316,0.2628,3244.0,0.3862,9.644,0.787,4.7924,0.0013588,0.6376,1.7736,0.0005896,1.576,39.4,2.0492,2100.0,1.766
batch-3-learning-89-regular-67,4040.0,1.019,0.18298,0.2404,3078.0,0.366,9.162,0.7866,5.0618,0.0014938,0.6272,1.8972,0.0006418,1.574,39.32,2.1242,2100.0,1.808
batch-1-learning-34-regular-45,4020.0,1.0252,0.17914,0.2396,3010.0,0.358,8.954,0.7912,4.3174,0.0014114,0.6484,1.6636,0.00060504,1.58,39.52,1.852,2100.0,1.646
batch-2-learning-23-regular-78,4108.0,1.0214,0.18466,0.2438,3106.0,0.3692,9.23,0.7898,4.3778,0.001351,0.629,1.6836,0.0005906,1.578,39.44,2.0496,2100.0,1.768
batch-4-learning-34-regular-23,4186.0,1.0206,0.18964,0.249,3190.0,0.3794,9.472,0.796,4.8788,0.0014154,0.6072,2.0674,0.0006438,1.588,39.78,2.2306,2100.0,1.844
batch-3-learning-1-regular-1,4346.0,1.0466,0.19316,0.2588,3246.0,0.386,9.646,0.7864,5.3934,0.0014896,0.6354,1.9654,0.0006286,1.572,39.3,2.1686,2100.0,1.84
batch-3-learning-23-regular-89,4414.0,1.0466,0.19526,0.2626,3284.0,0.3908,9.764,0.7914,5.3106,0.001429,0.6246,1.9746,0.0006162,1.582,39.6,2.2058,2100.0,1.846
batch-2-learning-23-regular-100,4272.0,1.0382,0.1893,0.2548,3180.0,0.3784,9.458,0.7848,4.893,0.0014144,0.6366,1.8102,0.0006146,1.57,39.3,2.0542,2100.0,1.772
batch-1-learning-78-regular-89,3974.0,1.0024,0.17484,0.2366,2936.0,0.3496,8.73,0.7826,4.0664,0.0013794,0.6328,1.6974,0.00062616,1.566,39.14,1.852,2100.0,1.644
