Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C3res%,C6res%,C6res%,C7res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-4-learning-67-regular-3,1.61e+04,1.03,11.7,0,15.2,23.2,0,0,0,0,0,0,0,0,0.14,0.121,1.86e+04,0.279,6.99,1.15,0.736,33.7,0.00181,0.697,10.2,0.000551,2.31,57.6,16.2,1.66e+04,10
batch-4-learning-67-regular-2,1.5e+04,0.922,11.9,0,11.9,18.2,0,0,0,0,0,0,0,0,0.13,0.109,1.78e+04,0.261,6.52,1.19,0.715,32.1,0.0018,0.7,9.74,0.000546,2.38,59.6,16.7,1.71e+04,10.1
batch-4-learning-67-regular-1,1.61e+04,0.997,11.8,0,13.6,21.3,0,0,0,0,0,0,0,0,0.135,0.117,1.85e+04,0.271,6.76,1.15,0.718,32.6,0.00176,0.712,9.44,0.00051,2.31,57.7,16.3,1.71e+04,10.1
batch-5-learning-100-regular-1,1.84e+04,0.94,11.9,0,12.2,19.6,0,0,0,0,0,0,0,0,0.146,0.112,2.4e+04,0.292,7.31,1.31,0.722,45,0.00187,0.761,10.8,0.00045,2.61,65.3,22,2.05e+04,11.4
batch-5-learning-23-regular-4,1.93e+04,1.01,11.8,0,11.4,18.1,0,0,0,0,0,0,0,0,0.152,0.119,2.46e+04,0.303,7.58,1.27,0.689,49.8,0.00202,0.807,9.69,0.000394,2.55,63.7,21.8,2.03e+04,11.4
batch-5-learning-23-regular-5,2e+04,1.06,11.9,0,13.7,15.3,0,0,0,0,0,0,0,0,0.158,0.126,2.5e+04,0.316,7.91,1.25,0.722,46.1,0.00184,0.78,10.2,0.00041,2.51,62.6,21.9,1.98e+04,11.4
batch-5-learning-23-regular-2,1.83e+04,0.968,11.8,0,12.5,19.8,0,0,0,0,0,0,0,0,0.149,0.114,2.39e+04,0.298,7.45,1.31,0.689,49.1,0.00205,0.792,10.3,0.000431,2.61,65.3,21.8,2.01e+04,11.4
batch-5-learning-23-regular-3,2.01e+04,1.06,12.1,0,12.4,17.9,0,0,0,0,0,0,0,0,0.161,0.128,2.54e+04,0.323,8.07,1.26,0.716,45.8,0.0018,0.771,10.6,0.000415,2.53,63.1,21.8,1.97e+04,11.4
batch-5-learning-23-regular-1,2.01e+04,0.944,13,0,15.2,15.4,0,0,0,0,0,0,0,0,0.16,0.123,2.61e+04,0.319,7.99,1.3,0.68,56.9,0.00218,0.777,12.8,0.000489,2.6,65,23.2,2.04e+04,11.6
batch-3-learning-67-regular-4,1.36e+04,1.03,11.1,0,10.2,27.1,0,0,0,0,0,0,0,0,0.123,0.115,1.46e+04,0.246,6.15,1.07,0.713,24.3,0.00166,0.647,8.71,0.000595,2.15,53.7,13,1.49e+04,9.22
batch-3-learning-67-regular-5,1.44e+04,1.04,11.5,0,16.5,13.7,0,0,0,0,0,0,0,0,0.128,0.12,1.54e+04,0.257,6.42,1.07,0.717,25.3,0.00164,0.65,8.91,0.00058,2.14,53.5,13.3,1.5e+04,9.25
