,EXEC,FREQ,MEM,PhysIPC%,GT,Pred
3728,0.24819216182110798,0.3503924646781397,0.6782884310618066,0.4749652938454419,1.02670019597,1.029611034719391
516,0.3992414664988604,0.7242655303882347,0.6541732699413629,0.3490667900666358,1.14263809844,1.1370222961414171
3581,0.34604298356598245,0.53507512895262,0.6144849445324881,0.4022211938917168,1.10097444689,1.0687867087323317
6787,0.2513780025290806,0.35644763399861445,0.6570206022187004,0.4749652938454419,1.04015625502,1.038688450943336
4719,0.6851724760720234,0.9683945791812101,0.4859633235229795,0.4373636543924109,1.48593096554,1.470776611640244
2189,0.250771175727562,0.3568513119533128,0.6764183835182251,0.47144840351689027,1.04818602271,1.0314360800369862
391,0.3685208596719811,0.6184682664270444,0.6671156893819336,0.38654943698935673,1.12879394444,1.089418702757639
1025,0.36743362831951315,0.3578605068400586,0.6673534072900159,0.7094863489125405,1.0291163169600002,1.0218535634787793
5409,0.3466498103675011,0.5267997308813045,0.6007923930269414,0.4085145765849144,1.09870530637,1.074987539181337
75,0.35044247787699234,0.5308365104282877,0.626148969889065,0.41591855622397034,1.04798569847,1.0639176820884626
57,0.8593100957240439,0.7551661166823553,0.5111614217797148,0.7195081642100878,1.3754585699200002,1.3261744971309843
1563,0.3325410872321936,0.48239515586448956,0.5629793977812996,0.42943081906524755,1.11760157879,1.1008551959482262
7019,0.7777496839438123,0.7747252747255243,0.5629952456418384,0.6356625019278112,1.2394960492,1.2488793707667436
1593,0.34452591656218595,0.5148912312177041,0.6275118858954042,0.4257288292457196,1.08075432399,1.062467634249456
7590,0.2522882427313585,0.3544292442251229,0.6618066561014264,0.47681628875520593,1.02766017948,1.034915923381826
6189,0.2495575221245248,0.35564027808921783,0.6800000000000002,0.47440999537251266,1.0080333133600001,1.030986833322343
1344,0.2682680151716012,0.4608656649475823,0.7438721605911252,0.4328243097334567,1.06565305939,1.0726364933943975
7067,0.24424778761123708,0.3425207445615225,0.6750871632329636,0.4755205923183711,1.0716236234,1.029421003920679
7765,0.3492288242739551,0.35220901547428207,0.6623454833597465,0.6745025451180009,1.03320828302,1.0150578213777801
3668,0.24697850821807077,0.35099798161018714,0.6916323296354993,0.4747801943544655,1.0295917324,1.0273781733231298
7069,0.3633375474092626,0.46591163938131125,0.6957210776545166,0.6060465833715872,1.1042963021799999,1.0865228292780769
1012,0.6530973451343948,0.9816943260819712,0.5316362916006339,0.4124248033317908,1.42450987623,1.4299378900805035
3151,0.24879898862262656,0.3532182103610279,0.6543581616481776,0.47403979639055993,1.02680873619,1.0400039866909143
4371,0.25046776232680273,0.3511998205875363,0.6609825673534073,0.47718648773715877,1.0317469156399999,1.0349053032189355
694,0.24864728192224692,0.35382372729307543,0.6716323296354993,0.47403979639055993,1.0360341703,1.0333508655233024
7639,0.24864728192224692,0.34696120206320397,0.6568304278922347,0.47718648773715877,1.00582594232,1.035775717958341
4394,0.964601769916472,0.8926328773266548,0.47918647649128376,0.6657411692114762,1.37184993555,1.361084830261731
4702,0.2509228824279417,0.3552366001345195,0.6568621236133122,0.4758907913003239,1.02094744454,1.0385532492526313
3147,0.2513780025290806,0.35261269342898044,0.656513470681458,0.47737158722813516,1.01510710664,1.0370050635741928
2948,0.8413400758580062,0.7552141735810993,0.5046222926576862,0.6982878297084684,1.28617119981,1.3153769296477023
739,0.24773704171996902,0.3516034985422346,0.6779714738510302,0.47403979639055993,1.0402706045399999,1.0306859624350535
3970,0.9038468484751048,0.9216832729954114,0.49354765677971474,0.6109605341443776,1.4041513996000001,1.3972192667780414
2427,0.36879898862293004,0.354631083202472,0.6309350237717909,0.7096714484035169,0.9995734593889999,1.044298639331359
6938,0.24986093552528416,0.3532182103610279,0.6883359746434232,0.4757056918093475,0.999913559805,1.0271885331418869
7570,0.7711251580297627,0.7046198699259134,0.5534072900158479,0.6746876446089775,1.20430246687,1.1941968756768455
3718,0.9492504966623244,0.9169256399571746,0.48766130858003176,0.6441462285978713,1.3863337055200002,1.3898727461427267
5915,0.24819216182110798,0.3489795918366956,0.6855467511885895,0.4758907913003239,1.04951795413,1.0267933546128019
6626,0.8331226295823846,0.7471406144871331,0.5977548864247226,0.6993675767394725,1.2142250559,1.187772192868138
5264,0.9797724399544371,0.8835501233459426,0.4837823560491284,0.6830171217029153,1.29895102252,1.3433551801994525
5748,0.9698392631402526,0.9117354948262042,0.5175684853977813,0.6604085410189726,1.27750243951,1.3268942927217582
1761,0.2491024020233859,0.3511998205875363,0.693946117274168,0.4760758907913003,1.02423692338,1.0253859594022723
5640,0.24804045512072834,0.3471630410405531,0.6752139461172743,0.47681628875520593,1.03252332495,1.0290526320995248
5238,0.3958280657403182,0.7197241533978785,0.5979661912313787,0.3453648002471078,1.1432012359100001,1.1571082301580469
214,0.3540834386861039,0.5605068400986141,0.6272266244057052,0.3966682091624248,1.06573939474,1.0715557433192568
4944,0.24864728192224692,0.3493832697913939,0.6568621236133122,0.4757056918093475,1.03033374417,1.0369711787617701
