,EXEC,FREQ,INST,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC%,MEM,GT,Pred
1296,0.3295,0.3805,1.1567472009415694,0.16449999999999998,0.970333333333,5.12716666667,0.000908666666667,0.6615,1.8855,0.00036075,0.48483333333300005,4.43833333333,1.09848060536,1.0811918728377057
1158,0.402013157895,0.393355263158,0.9782168580876912,0.200934210526,1.0218421052600002,187.078947368,0.027671052631599996,0.999986842105,0.00964136842105,1.4227407894700002e-06,0.511131578947,0.01072511842105,1.0179380316,1.0205541499362893
1216,0.527,0.26225,0.4981889105600446,0.2635,2.01,0.67625,7.5425e-05,0.95875,0.032725,3.6425e-06,1.0025,0.049350000000000005,1.0169997613700001,1.0170848327972741
619,1.1807142857100001,0.8408928571430001,0.7114561027839319,0.590464285714,1.4053571428600002,108.75,0.00544642857143,0.999964285714,0.0149410714286,7.402857142859999e-07,0.702678571429,0.02083535714287,1.16326801172,1.1708889347802636
192,0.355818181818,0.263545454545,0.7402811004786184,0.178090909091,1.35,0.9271818181820001,0.000152636363636,0.960363636364,0.0384545454545,6.29727272727e-06,0.675454545455,0.10394545454540001,1.01784757808,1.025770135949102
629,0.6195,0.523,0.8462264150943396,0.3095,1.185,20.7,0.001945,0.997,0.0597,5.655e-06,0.5920000000000001,0.0814,1.03557381004,1.023016885294853
758,0.49825,0.26275,0.5277695277695278,0.2495,1.8975,0.757,9.0125e-05,0.95325,0.040875,4.8675e-06,0.94825,0.0673,1.0139212634399999,1.0192791063106257
331,0.398966666667,0.39273333333300003,0.9839646527339444,0.199433333333,1.0149,200.266666667,0.0298333333333,1.0,0.008029000000000001,1.1907999999999999e-06,0.508133333333,0.01127933333334,1.01741706906,1.0213514825519474
993,0.3558,0.2628,0.7389292795769994,0.1778,1.354,1.08,0.000178,0.9526,0.053779999999999994,8.836e-06,0.677,0.15,1.0130506810700002,1.0270030899809455
1349,0.6264444444439999,0.5231111111110001,0.834199584199029,0.313333333333,1.19888888889,20.444444444400002,0.0019155555555600001,0.9993333333329999,0.0180955555556,1.70033333333e-06,0.598888888889,0.0254055555556,1.02817820662,1.022394659592557
1093,1.24833333333,0.8033333333329999,0.6440809968831777,0.623666666667,1.5533333333300001,108.0,0.005055,0.9995,0.04963333333330001,2.29066666667e-06,0.7766666666669999,0.0631833333333,1.20332341751,1.150079829801793
364,0.6324,0.5236,0.8284132841328413,0.31629999999999997,1.209,10.92,0.0010061,0.9979,0.023408,2.1577e-06,0.6042000000000001,0.037177,1.0263793270100001,1.0224649304629672
797,0.35588000000000003,0.26428,0.7423939151321057,0.17796,1.3464,0.9222799999999999,0.00015336,0.96752,0.0317,5.2524e-06,0.6736,0.08857999999999999,1.02126741446,1.024678676724251
999,0.336,0.384166666667,1.1430678466070796,0.168,0.9876666666670001,5.23016666667,0.0009303333333330001,0.6585,1.87316666667,0.0003601,0.493666666667,4.255,1.09231366979,1.0820722962469105
