,EXEC,L3MISS,L2MISS,PhysIPC%,INSTnom%,L2MPI,IPC,L3MPI,INST,FREQ,L3HIT,MEM,GT,Pred
952,0.38500367107195305,0.009638602941183558,0.0019456818181800496,0.9899253731343284,0.38488389182833627,0.0019348739495798318,0.9900497512437811,0.002092398173266925,0.3102859590818617,0.3006693905424321,0.941625,0.007870972073035516,1.02080793706,1.0185670695364317
1148,0.26190476190455214,0.009501050420168751,0.0027768181818147485,0.6740582800288557,0.2620307382216343,0.004045618247310923,0.6744847192587067,0.0030335085113341086,0.4557126865014027,0.300383854559011,0.9531428571430001,0.019055547030827576,1.02186718731,1.024130373438953
1227,0.3860132158590309,0.007450367647064302,0.0020817045454526533,0.9965174129353236,0.3861699000587889,0.0020427170868347337,0.9950248756218907,0.001612656791535998,0.30854338161228145,0.30009831857558983,0.9555,0.008297529538126586,1.01508745991,1.0206178158610681
562,0.2950492972518356,0.005760504201688059,0.6454545454535042,0.5063255152805971,0.29520450155349787,0.8391356542605042,0.5067519545124379,0.0016350696258326596,0.6067887509428187,0.4506573635475759,1.0,0.0062531839803511005,1.02198098969,1.0190829705924418
159,0.26119676945668135,0.015264705882364164,0.003628863636360338,0.6741293532338309,0.2616108171663727,0.005287114845938375,0.6741293532338309,0.004918016211381786,0.45619991588272824,0.29981278259216876,0.94725,0.024876476906538738,1.03116759112,1.0235443031204368
924,0.7604363331204114,0.005804621848746916,0.2538181818178602,0.7874911158497514,0.7608969513727218,0.1278111244498599,0.78678038379602,0.0006249369062267798,0.39035615265619866,0.7471252960488929,0.9998571428569999,0.006441460794840795,1.0622247313200002,1.0768379664564653
151,0.2683553597650514,0.24959558823547764,0.015466818181804124,0.5121890547263682,0.26785714285714285,0.017948179271708685,0.5130597014925373,0.06645939007872045,0.7468605250773304,0.5019722588543168,0.6835,0.641648764768721,1.04310376031,1.0894265061726303
764,0.2613803230543319,0.014242647058841354,0.0035042424242286326,0.6762852404646768,0.2616108171663727,0.005023342670392157,0.6766169154228857,0.004486835970626959,0.4539602578688302,0.29924171062532656,0.945666666667,0.02769065520949104,1.0325258227299998,1.0230263143617429
1218,0.26174743024963293,0.01204411764706768,0.0033249999999969775,0.6738805970149253,0.2616108171663727,0.004873949579831932,0.6728855721393036,0.0038646129994386823,0.45608641880571926,0.300383854559011,0.95125,0.02268931256711993,1.00988613524,1.0237044636328347
945,0.2674171969324523,0.5565441176474681,0.025631313131303977,0.41857379767860703,0.2678163171987066,0.03146591970112044,0.418407960199005,0.15688509661968594,0.8776783006759348,0.5915036527671528,0.665222222222,0.7882205513776648,1.10495322561,1.0816705343446062
1103,0.7591776798825258,0.012644117647068121,0.20713636363617532,0.7870646766169155,0.7595532039976484,0.10246498599439774,0.7870646766169155,0.0013789229481565252,0.3913786126262573,0.746505275056158,0.9994,0.009696025778727338,1.05620630814,1.0755790391255675
1144,0.45657646318428785,0.00524369747898915,0.06950000000007318,0.5911869225303483,0.4570840681951792,0.05798319327731091,0.5913290689402986,0.0009667707463141729,0.519068988449692,0.5978307675747515,0.9988571428569999,0.0058754795151042555,1.0212705636,1.0179607198535798
