Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C4res%,C5res%,C6res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,Proc Energy (Joules),READ,TIME(ticks),WRITE,Slowdown
num-700000,7.51E+05,1.01,82.7,0,16.9,0,0,0,0,0,0,0,0,0.864,0.832,7.80E+05,1.73,43.2,1.04,0.718,404,0.000518,0.278,246,0.000316,2.08,51.9,1.58E+03,146,1.13E+05,295,1.307287612
num-700000,1.04E+06,1.01,99.8,0,0.182,0,0,0,0,0,0,0,0,1.23,1.01,1.27E+06,2.46,61.6,1.22,0.761,351,0.000276,0.391,173,0.000136,2.45,61.2,2.05E+03,140,1.29E+05,210,1.487665095
num-700000,9.51E+05,1.01,96,0,3.99,0,0,0,0,0,0,0,0,1.28,0.971,1.25E+06,2.55,63.8,1.31,0.761,253,0.000202,0.385,142,0.000113,2.63,65.7,1.94E+03,89.6,1.22E+05,143,1.417237214
num-200000,3.19E+05,1,99.8,0,0.17,0,0,0,0,0,0,0,0,1.27,1,4.06E+05,2.55,63.7,1.27,0.673,68.9,0.00017,0.244,47.6,0.000117,2.54,63.6,620,28.2,3.98E+04,57.6,1.43298065
num-200000,3.22E+05,1.01,99.9,0,0.119,0,0,0,0,0,0,0,0,1.16,1.01,3.70E+05,2.33,58.1,1.15,0.715,119,0.000321,0.3,76.4,0.000206,2.3,57.5,626,40.7,3.98E+04,77.4,1.424977226
num-200000,3.19E+05,1.01,99.8,0,0.185,0,0,0,0,0,0,0,0,1.15,1.01,3.63E+05,2.29,57.4,1.14,0.735,137,0.000378,0.342,73.9,0.000204,2.27,56.8,629,49,3.95E+04,81.8,1.431165956
num-200000,2.85E+05,1.02,81.5,0,18.3,0,0,0,0,0,0,0,0,0.731,0.827,2.52E+05,1.46,36.5,0.884,0.728,211,0.000838,0.333,113,0.000448,1.77,44.2,618,72,4.31E+04,125,1.561030547
num-200000,3.47E+05,1,99.9,0,0.138,0,0,0,0,0,0,0,0,1.17,1,4.03E+05,2.33,58.3,1.16,0.714,121,0.000301,0.252,84.9,0.000211,2.32,58.1,660,41.6,4.33E+04,82.8,1.544670892
num-200000,3.18E+05,1.01,99.8,0,0.151,0,0,0,0,0,0,0,0,1.25,1,3.96E+05,2.5,62.6,1.25,0.724,64.2,0.000162,0.303,40.3,0.000102,2.49,62.3,616,27.4,3.96E+04,62.2,1.418048422
num-200000,3.19E+05,1.01,99.9,0,0.135,0,0,0,0,0,0,0,0,1.37,1.01,4.33E+05,2.75,68.7,1.36,0.731,35.8,8.26E-05,0.362,21.4,4.95E-05,2.71,67.8,639,19.3,3.94E+04,30.2,1.419616993
