Configuration,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,READ,WRITE,SLOWDOWN
num-400000,1.19,0.802,676000,2.37,1.48,0.727,114,0.000168,0.38,59.5,0.0000881,2.96,49.8,77.2,1.3869036747
num-400000,1.2,0.773,565000,2.39,1.55,0.76,50.8,0.0000899,0.359,29,0.0000514,3.09,30.5,55.6,1.1601537659
num-400000,0.922,0.718,455000,1.84,1.28,0.689,195,0.000429,0.28,125,0.000275,2.57,62.6,123,1.2039366311
num-400000,1.17,1,705000,2.34,1.17,0.746,262,0.000372,0.403,135,0.000192,2.33,94.9,134,1.4649097857
num-400000,1.06,1,639000,2.13,1.06,0.767,314,0.000492,0.412,150,0.000234,2.12,118,178,1.4641008107
num-400000,0.701,0.423,306000,1.4,1.66,0.724,72.1,0.000236,0.351,42.4,0.000139,3.32,34.8,63.9,1.0718891225
num-400000,1.13,1.01,676000,2.25,1.12,0.72,181,0.000268,0.25,120,0.000178,2.24,74.4,179,1.4707246099
num-400000,0.982,0.591,444000,1.96,1.66,0.7,116,0.00026,0.355,69.3,0.000156,3.32,38.6,70.9,1.1156649436
num-400000,1.26,1.01,741000,2.52,1.25,0.728,196,0.000265,0.364,107,0.000144,2.49,69.3,110,1.4264650403
num-400000,1.17,1.01,701000,2.34,1.16,0.696,219,0.000313,0.233,156,0.000223,2.31,78.2,154,1.4515181203
num-400000,0.697,0.68,325000,1.39,1.03,0.675,191,0.000589,0.215,133,0.000409,2.05,69.3,158,1.1425956416
num-400000,1.25,1.01,734000,2.5,1.24,0.76,137,0.000186,0.261,98.4,0.000134,2.47,51.7,111,1.4270363676
num-400000,1.15,1,690000,2.3,1.15,0.695,190,0.000275,0.325,110,0.000159,2.3,70.7,180,1.4738666977
num-400000,0.884,0.776,433000,1.77,1.14,0.698,157,0.000362,0.25,103,0.000237,2.28,63.7,157,1.1974786102
num-400000,1.26,1.01,745000,2.53,1.25,0.741,228,0.000306,0.438,104,0.00014,2.5,83.8,104,1.4315143701
num-400000,1.3,1.01,781000,2.6,1.28,0.729,134,0.000171,0.351,80.2,0.000103,2.57,52.3,102,1.4598466958
num-400000,1.31,1.01,769000,2.63,1.3,0.758,147,0.000191,0.409,78.4,0.000102,2.61,53.1,79.8,1.4208588961
num-400000,1.19,1.01,715000,2.39,1.18,0.748,234,0.000327,0.394,122,0.00017,2.36,88,142,1.4495751559
num-400000,1.34,1.01,785000,2.69,1.33,0.741,101,0.000129,0.371,61.8,0.0000787,2.67,41.3,70.3,1.4153449625
num-500000,1.09,0.865,709000,2.19,1.27,0.788,265,0.000373,0.495,104,0.000146,2.53,84.9,132,1.287824948
num-500000,1.3,1.01,959000,2.6,1.29,0.679,164,0.000171,0.268,112,0.000117,2.58,60.8,123,1.4636036997
num-500000,1.09,1,812000,2.19,1.09,0.716,327,0.000402,0.29,208,0.000256,2.18,111,217,1.4719878159
num-500000,1.26,0.991,933000,2.52,1.27,0.749,252,0.00027,0.442,121,0.00013,2.55,84.9,124,1.4629860217
