Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C3res%,C6res%,C6res%,C7res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-2-learning-45-regular-3,2.57e+04,1,21,0,10.6,19.8,0,0,0,0,0,0,0,0,0.202,0.21,2.47e+04,0.403,10.1,0.961,0.79,38.4,0.00155,0.704,10.3,0.000418,1.92,48,11.7,1.53e+04,9.13
batch-1-learning-56-regular-5,2.07e+04,0.953,18.2,0,11.3,19.1,0,0,0,0,0,0,0,0,0.168,0.174,2.01e+04,0.337,8.42,0.968,0.756,32.7,0.00163,0.663,9.91,0.000494,1.94,48.4,10.5,1.49e+04,8.54
batch-1-learning-56-regular-4,1.97e+04,0.935,17.6,0,10.2,26.2,0,0,0,0,0,0,0,0,0.159,0.164,1.9e+04,0.317,7.93,0.966,0.767,30.2,0.00159,0.675,8.81,0.000463,1.93,48.3,10.3,1.5e+04,8.37
batch-2-learning-45-regular-4,2.61e+04,1.05,21.2,0,9.26,23.5,0,0,0,0,0,0,0,0,0.212,0.222,2.5e+04,0.424,10.6,0.955,0.787,39,0.00156,0.697,10.7,0.000427,1.91,47.8,11.7,1.47e+04,9.05
batch-5-learning-1-regular-2,3.93e+04,0.937,29.7,0,13.4,18.8,0,0,0,0,0,0,0,0,0.277,0.278,3.91e+04,0.553,13.8,0.995,0.778,70.7,0.00181,0.802,11.9,0.000305,1.99,49.8,14.4,1.77e+04,10.1
batch-2-learning-45-regular-5,2.72e+04,0.942,22.6,0,11.7,21.6,0,0,0,0,0,0,0,0,0.201,0.213,2.57e+04,0.402,10.1,0.944,0.797,38,0.00148,0.705,10,0.00039,1.89,47.2,11.7,1.59e+04,9.09
batch-4-learning-34-regular-4,3.64e+04,1.04,27.3,0,7.55,24.3,0,0,0,0,0,0,0,0,0.268,0.283,3.45e+04,0.537,13.4,0.947,0.805,54.6,0.00158,0.764,11.3,0.000328,1.89,47.4,13.3,1.61e+04,9.78
batch-5-learning-1-regular-3,4.01e+04,0.994,29.7,0,8.32,19.2,0,0,0,0,0,0,0,0,0.29,0.295,3.94e+04,0.581,14.5,0.983,0.775,70.6,0.00179,0.804,11.9,0.000301,1.97,49.1,14.1,1.69e+04,10
batch-5-learning-1-regular-4,3.66e+04,0.994,27.7,0,9.93,16.8,0,0,0,0,0,0,0,0,0.279,0.275,3.7e+04,0.557,13.9,1.01,0.775,69.3,0.00187,0.791,12.6,0.00034,2.02,50.6,14.1,1.66e+04,10
batch-5-learning-34-regular-1,3.68e+04,0.976,28,0,9.16,20.1,0,0,0,0,0,0,0,0,0.278,0.273,3.74e+04,0.555,13.9,1.02,0.78,66.1,0.00177,0.805,11.1,0.000297,2.03,50.8,13.9,1.68e+04,10.1
batch-5-learning-1-regular-5,3.58e+04,0.935,27.7,0,12.8,22.9,0,0,0,0,0,0,0,0,0.262,0.259,3.63e+04,0.525,13.1,1.01,0.779,65.2,0.0018,0.802,11.2,0.000308,2.03,50.7,14,1.73e+04,10
batch-4-learning-12-regular-4,3.25e+04,0.992,25.5,0,13.7,7.93,0,0,0,0,0,0,0,0,0.251,0.253,3.23e+04,0.502,12.5,0.994,0.808,53.5,0.00166,0.76,11.3,0.000349,1.99,49.7,13.3,1.61e+04,9.76
batch-1-learning-12-regular-3,2.08e+04,1.05,17.6,0,11,27.5,0,0,0,0,0,0,0,0,0.174,0.184,1.96e+04,0.347,8.69,0.944,0.755,30.6,0.00156,0.669,9.19,0.000468,1.89,47.2,10.2,1.41e+04,8.29
