,EXEC,L2MISS,L3MISS,L3HIT,MEM,L3MPI,L2MPI,INSTnom%,IPC,PhysIPC%,INST,FREQ,GT,Pred
933,0.984267453294002,0.29204031087197885,0.2935407507609063,0.9812907327928787,0.37849714526573935,0.11954653859975822,0.12589224197326715,0.9846116027531957,0.7557462133248596,0.7565733672603904,0.47042017717661655,0.9725141471301535,1.3891694171939268,1.283116883173516
2612,0.408075221238938,0.012294388931591085,0.404013076316086,0.34298998569384836,0.48388703682415624,0.38851318239733407,0.01253823894171145,0.40781710914454294,0.9540832538925961,0.9554707379134858,0.3723827505471384,0.31911883589329026,1.0279252706565003,1.0222935070067163
758,0.4082042772861356,0.012760696899820652,0.4143839476947356,0.3483309489747258,0.49594666053569364,0.3994903459766735,0.013054981397271601,0.4083333333333333,0.9509056244041943,0.9535623409669209,0.3736180785069335,0.3201293451899757,1.0184381643039295,1.024201309680534
1028,0.4008480825958701,0.012424417115039714,0.41956938338406036,0.32446351931330475,0.47358623596581984,0.4234048809173772,0.013307151715584952,0.400589970501475,0.9477279949157926,0.9475190839694656,0.3751469385473586,0.3156831042845594,1.0308717719756222,1.0277569355088958
760,0.28030973451327423,0.01322700486805022,0.4243039116221395,0.3575107296137339,0.552370004215044,0.6068803293149074,0.02005787515502274,0.2803097345132744,0.6530028598665395,0.6534669211195928,0.5446538630303438,0.32053354890864993,1.0245438390600747,1.020917549017039
1492,0.27863200589970494,0.01361260568793236,0.4324202457445609,0.36268478779208396,0.5644710119937159,0.6221699500147015,0.020773046713517984,0.2785029498525074,0.6466476008897363,0.6475826972010178,0.5492491767674069,0.3211398544866612,1.0232325200495174,1.0211428038639727
3691,0.6311946902654866,0.02282090699461953,0.4073626745253393,0.5293276108726752,0.48223605340515313,0.2572352669382954,0.015264867418649974,0.6314159292035398,0.8947296745199507,0.8955834242093784,0.39805154274799404,0.5269661623744081,1.1070728880533551,1.0730610385429706
27,0.9359789823008848,0.28953689469638744,0.40784578965167395,0.9733905579399141,0.47323485458098635,0.17268450455748308,0.13037412153782557,0.9359789823008849,0.7042421353670163,0.7049141221374046,0.5061703475270467,0.9934316895715439,1.2380621195046502,1.1640194346768897
3221,0.41205752212389385,0.8566487317448118,0.3913232523310305,0.9921316165951359,0.4356034355344621,0.3699752173730414,0.8564341817752318,0.4121681415929204,0.37736619910118474,0.37772628135223557,0.9430325936540116,0.8152211571775032,1.1963917854929769,1.182265375780347
520,0.27811578171091444,0.01341980527799129,0.42543118025025356,0.36402002861230326,0.5626470475533587,0.6033519553072625,0.020198429102935095,0.27824483775811204,0.646647600889736,0.6471055979643765,0.549658052010032,0.3213419563459985,1.0177035616106131,1.0235188788008809
1642,0.27850294985250734,0.014962208557519858,0.47232555517979924,0.37219837863614685,0.6006130972908763,0.6660786043320589,0.0223522116577098,0.2785029498525073,0.6458531935176356,0.6463104325699746,0.5503127985044741,0.3217461600646726,1.0412012275801488,1.0278933995282087
1549,0.6267699115044246,0.023074558032282862,0.42050340596164054,0.5021459227467812,0.5031888722841705,0.2683244423908934,0.015583771334081382,0.626769911504425,0.8681737709383086,0.8692748091603052,0.41010805719979443,0.5394387342649266,1.0474678493064622,1.0570851909364505
3022,0.27708333333333335,0.013496028695874969,0.42565663397587633,0.37353361945636626,0.5543472429781201,0.6137410565519945,0.020636626705250096,0.27695427728613564,0.6490308230060373,0.6494910941475828,0.547897578690946,0.31831042845594176,1.0307439159937428,1.0213377232366145
4170,0.27914823008849554,0.013433256469382527,0.4292638935858415,0.361516452074392,0.5494807832317892,0.605116142311085,0.020086812732534105,0.27901917404129806,0.6514140451223386,0.6517175572519085,0.5458958406179005,0.31972514147130154,1.0278012554106146,1.0282254835047324
2356,0.27721238938053094,0.014016141429669487,0.44684928418442116,0.36318550309966624,0.5882975054603978,0.6354993629324708,0.021157503100454732,0.27695427728613564,0.6442643787734349,0.6450381679389313,0.5518012943366267,0.32073565076798705,1.0446395535488249,1.0235328003370603
1990,0.2774705014749262,0.0130880092236741,0.4256566339758764,0.3538388173581306,0.5535655439322527,0.6176614721160442,0.020119884249689954,0.27772861356932155,0.6490308230060373,0.6494910941475827,0.5480529608769923,0.3191188358932901,1.0234796172956877,1.0196990265297543
875,0.41526548672566366,0.8074558032282861,0.44311319387410014,0.9904148783977111,0.49076905391424297,0.42306884529760147,0.8153310104529615,0.4152654867256638,0.37709383085932174,0.3773173391494001,0.9428576501503279,0.8223235939484929,1.155241997685228,1.1530763827225288
