,AFREQ,EXEC,FREQ,INST,INSTnom%,IPC,L2HIT,L2MPI,L3HIT,PhysIPC%,MEM,GT,Pred
1802,1.05,0.510333333333,0.261666666667,0.5125240847780347,0.255333333333,1.95,0.597666666667,0.000647333333333,0.295,0.9753333333329999,1.3775999999967,1.02555948055,1.020707936066742
5443,1.05,0.34700000000000003,0.263333333333,0.7584459459459459,0.173333333333,1.32,0.633333333333,0.00102733333333,0.313,0.659333333333,1.5892666666667,1.0327019578,1.0303889031282765
6903,1.007,0.847714285714,0.602714285714,0.7121393034857078,0.42385714285700005,1.40857142857,0.225285714286,0.00922571428571,0.988857142857,0.704285714286,0.8355371428573001,1.09888060582,1.1227628592199252
7472,1.01411111111,1.23444444444,0.989111111111,0.8027644869760765,0.6171111111109999,1.2444444444399998,0.674888888889,0.0011653333333299998,0.925888888889,0.6232222222220001,0.7971411111112999,1.3733066135699998,1.3964177855924775
3437,1.05,0.361333333333,0.262333333333,0.7262872628731708,0.18066666666700001,1.37666666667,0.735,0.0006976666666669999,0.349,0.6890000000000001,1.1084333333367002,1.01342793971,1.0265657284000587
4528,1.05,0.363333333333,0.261333333333,0.719551282051282,0.181666666667,1.39,0.7390000000000001,0.0006230000000000001,0.380666666667,0.695333333333,0.9984333333333,1.01496735142,1.0328924914266044
5807,1.00222222222,1.26888888889,0.964333333333,0.7585677749378604,0.634888888889,1.3166666666700002,0.6759999999999999,0.0013866666666700002,0.942111111111,0.6585555555560001,0.8152222222227,1.44623987997,1.3655010517475885
2425,1.05,0.522666666667,0.262,0.5009352787126824,0.26133333333299996,1.99666666667,0.639333333333,0.000529,0.308,0.997,1.1600333333367001,1.02558610719,1.0202508630892435
7764,0.974,0.8198,0.4948,0.6034582132564842,0.40979999999999994,1.658,0.2938,0.004070000000000001,0.9752,0.8286,0.846834,1.08219421963,1.1020258728685328
6376,1.03933333333,0.949833333333,0.814666666667,0.8593588417769196,0.475,1.16333333333,0.6861666666670001,0.00316,0.956166666667,0.582166666667,0.9264666666670001,1.13990685138,1.1405675229625971
3305,1.05,0.535666666667,0.265333333333,0.4954726548353841,0.268,2.02,0.687333333333,0.000429666666667,0.358333333333,1.01166666667,0.91832,1.00301488026,1.0309001261456996
5871,0.9928,1.0604,0.7272,0.6857772877618522,0.5304,1.4580000000000002,0.7292,0.001416,0.9264,0.7295999999999999,0.976536,1.04160219463,1.07548879542714
1755,1.05,0.35,0.262666666667,0.7522522522516891,0.174666666667,1.33333333333,0.677666666667,0.000912,0.324666666667,0.6653333333329999,1.4064333333299999,1.03699921736,1.023574471529235
7150,1.0032,0.9466,0.8076,0.8516209476309227,0.4732,1.172,0.6448,0.003652,0.9708,0.5854,0.88878,1.20856679666,1.190488907614021
2442,1.05,0.349666666667,0.261,0.7469545957923589,0.174666666667,1.34,0.688,0.000867,0.34,0.6693333333329999,1.3450666666633,1.03416669653,1.0240601527147235
5823,0.964857142857,1.01314285714,0.7979999999999999,0.7873376623352273,0.5068571428569999,1.27142857143,0.17414285714299998,0.00804142857143,0.987571428571,0.635142857143,0.8847571428571,1.21660027671,1.2069341333942576
4562,1.05,0.364,0.263333333333,0.724064171122847,0.181666666667,1.38333333333,0.7026666666670001,0.0006926666666669999,0.372666666667,0.691,1.0916333333300001,1.04484031331,1.0272705587908935
660,1.05,0.356666666667,0.263,0.7374454148462131,0.178333333333,1.35666666667,0.691666666667,0.000835333333333,0.334666666667,0.678333333333,1.3115999999966999,1.01790609961,1.0221940568506858
6410,1.026,1.04875,0.8345,0.7966573816155988,0.52375,1.255,0.193375,0.0084575,0.989125,0.628125,0.8609074999999999,1.29261615842,1.2104365524780456
5062,1.05,0.366333333333,0.262333333333,0.7159574468086617,0.183,1.39666666667,0.737,0.000621333333333,0.375666666667,0.6983333333330001,0.9875333333337,1.02745374713,1.0332184611977357
4730,1.05,0.520666666667,0.261333333333,0.502635542168864,0.260333333333,1.99,0.665666666667,0.000535333333333,0.326666666667,0.997,1.1360666666700001,1.01209063787,1.0208580081454541
7084,0.974,0.8146,0.5622,0.6903735632183908,0.40740000000000004,1.45,0.2148,0.009716,0.9878,0.7252,0.8942,1.08923322318,1.0957541664149208
2479,1.05,0.465333333333,0.262333333333,0.5641134151495708,0.232666666667,1.77333333333,0.7290000000000001,0.00171,0.741,0.886666666667,1.3214333333333,1.03558119546,1.0187558126470406
1962,1.05,0.515666666667,0.261666666667,0.5083018867926447,0.257666666667,1.96666666667,0.616,0.0006320000000000001,0.29266666666700003,0.9840000000000001,1.3836000000000002,1.02204595211,1.0203025278728741
7218,0.9718,0.9972,0.5856,0.5891891891891892,0.498,1.704,0.9208,0.00016140000000000002,0.3844,0.8526,0.92036,1.10366944419,1.0858857321371702
7428,1.02375,1.28,0.98175,0.7668571428571429,0.64,1.30125,0.5660000000000001,0.00206,0.966,0.6515000000000001,0.78,1.37661270744,1.407115143618513
1690,1.05,0.496333333333,0.266,0.5350039777243436,0.248333333333,1.87,0.685333333333,0.0013866666666700002,0.657333333333,0.934333333333,1.592,1.01635178962,1.0248892433372803
5729,1.002,1.012,0.8215,0.8105726872246696,0.5067499999999999,1.235,0.16975,0.008515,0.98675,0.6164999999999999,0.98605,1.10210076665,1.1112281497398127
7459,0.988142857143,1.18,0.871714285714,0.740714285715,0.589857142857,1.35428571429,0.949,0.000226571428571,0.389285714286,0.676857142857,0.8887285714283,1.18838854301,1.2269624244364343
5455,1.05,0.513,0.262333333333,0.5109996140480466,0.25633333333299996,1.95333333333,0.603,0.000655666666667,0.293333333333,0.977333333333,1.3993333333367,1.00991782707,1.0202081419041031
