feature,LR-1,LR-2,LS-1,LS-2,EN-1,EN-2,BR-1,BR-2,nn
L2MPI,1.813031907887783e-06,1.134381978459572e-06,6.1033722338068085e-06,1.0797598215908306e-05,6.103373405630267e-06,1.0797600444944894e-05,1.8156046024820208e-06,1.169121759215379e-06,3.0424863573845903e-06
L3HIT,0.003960871970715442,0.0009002119789132103,0.011396453521841217,0.027627238487908344,0.011439263871843944,0.027627274559385104,0.003961413057287306,0.0009605329537112423,0.0008017968230155557
L3MISS,0.14382167804309984,0.10470171550464973,0.15167170156555676,0.2999197282967949,0.1562271509537258,0.3112167367677157,0.14435039138127548,0.10448403185415167,0.10186205853177249
L3MPI,1.2226419402702233e-08,9.058998506961683e-09,1.4877183635686928e-08,6.04638503903433e-08,1.4877439753602357e-08,6.04638513897276e-08,1.2270471101625788e-08,9.025984231718518e-09,1.507846787681214e-08
PhysIPC%,0.0015639444354015883,0.0005990091068276979,0.0037201254520570467,0.030985026700891823,0.0038326513805976956,0.03098506481709252,0.0015625705103833555,0.0006123609229464438,0.0006648957165767003
MEM,0.05348876722707059,0.030624961460317974,0.07981701264372423,1.1579897067961062,0.08362650636862069,1.2402496688878197,0.05350029823296797,0.029317286664718955,0.03075040812521837
diff
AFREQ,0.08509550988195788,0.07667440355727952,0.08147705373417827,0.1498706977382102,0.08150183677468259,0.1498707002551929,0.08313393521024372,0.0709692588160633,0.2669114347111761
EXEC,7.061055405203797,5.457513015864333,10.433710702604278,43.39023158750416,10.885318278727668,43.39352819284316,7.0582337140303,5.452858310899822,5.478843744010402
FREQ,8.817616236211643,6.75848091843638,15.44915824651126,34.67311118351493,15.527860715795812,34.67320507485655,8.786248937083288,6.8577209673681665,6.697188969896775
INST,5.814769896438525,3.6630427652894695,8.473350648109408,28.607490021042647,8.617498509979587,28.60751044574859,5.924829433947268,3.8036792830805037,3.8431322735595734
INSTnom%,7.063790698124121,5.4595466324478705,10.43615085477292,43.39471563393473,10.647831595659126,43.39636697355168,7.060836678048614,5.455103430836317,5.5137431224732465
IPC,5.103316529455063,2.9393472951692314,7.664942528569966,25.79277932960397,7.9039375905563505,25.79280729980762,5.109892314364608,2.996986584837774,3.0334369470147995
L2MISS,45.42593508539486,32.73989058124237,45.37799398578247,137.62883000558435,52.21109872966636,138.55853114722436,45.436653290688746,27.058392925932157,25.727792087511737
L2MPI,40.926280946571566,31.01154677016838,83.0365250013447,152.9146264658308,83.03668284627715,152.91465663713348,40.12447120152946,29.301152661141337,73.01683106135309
L3HIT,6.543938517350215,2.633549199575277,12.616269885709347,21.819358390840044,12.650251328979476,21.81939453094583,6.543303194528526,2.761364426128321,2.67847752109303
L3MISS,37.502381147734276,26.716486493279312,45.174128003009585,238.6336618846715,56.00740480160415,242.40326870722208,38.30476274942947,25.767528004585934,29.116197483907374
L3MPI,134.81574665292146,33.587647405723935,192.22404236494089,657.0281258923807,192.2182619760784,657.0281379500835,130.84375469385202,28.832794688108443,161.26659788015965
PhysIPC%,5.101503618880671,2.9374574604527113,7.661936706465039,25.7916196695806,7.794354365898962,25.791633604927068,5.108239478522063,2.9943011218173075,3.1035540089271696
MEM,18.14418152258977,8.672669571684033,38.89747600479342,307.95462623877984,43.06374926529264,323.6533458009752,18.667396801543926,10.221488197930269,13.266726540461576
